MaterialsName                0.001kPa       0.01kPa        

cd3btb2                       0.0002         0.0019         
co_2_6_ndp                    0.0001         0.0009         
co_dobdc                      0.0002         0.0020         
cobdp                         0.0001         0.0005         
cof_1                         0.0007         0.0067         
cof_102                       0.0002         0.0019         
cof_103                       0.0002         0.0015         
cof_105                       0.0001         0.0011         
cof_108                       0.0000         0.0004         
cof_300                       0.0001         0.0009         
cof_5                         0.0000         0.0002         
cu_btc                        0.0018         0.0185         
irmof_1                       0.0001         0.0012         
irmof_10                      0.0001         0.0015         
irmof_11                      0.0120         0.1206         
irmof_12                      0.0002         0.0019         
irmof_13                      0.0061         0.0625         
irmof_14                      0.0002         0.0020         
irmof_15                      0.0000         0.0004         
irmof_16                      0.0001         0.0014         
irmof_2                       0.0003         0.0034         
irmof_3                       0.0001         0.0015         
irmof_4                       0.0015         0.0156         
irmof_5                       0.0005         0.0051         
irmof_6                       0.0002         0.0020         
irmof_7                       0.0003         0.0028         
irmof_8                       0.0001         0.0013         
irmof_9                       0.0004         0.0039         
maf_x8                        0.0004         0.0036         
mg_dobdc                      0.0003         0.0034         
mgmof_74                      0.0003         0.0031         
mil_100                       0.0670         0.6471         
mil_101                       0.0092         0.0857         
mil_140a_dft                  0.0000         0.0001         
mil_140b_dft                  0.0003         0.0032         
mil_140c_dft                  0.0001         0.0014         
mil_140d_dft                  0.0001         0.0014         
mil_47                        0.0001         0.0006         
mil_53crht                    0.0001         0.0007         
mil_88a_dry                   0.0012         0.0120         
mil_88a_open                  0.0000         0.0004         
mil_88b_dry                   0.0001         0.0006         
mil_88b_open                  0.0000         0.0004         
mil_88c_dry                   0.0001         0.0008         
mil_88c_open                  0.0000         0.0003         
mil_88d_dry                   0.0000         0.0002         
mil_88d_open                  0.0000         0.0003         
mof_1                         0.0000         0.0003         
mof_177                       0.0002         0.0016         
mof_200                       0.0002         0.0019         
mof_205                       0.0001         0.0011         
mof_210                       0.0003         0.0028         
mof_69c                       0.0005         0.0045         
mof_70                        0.0005         0.0046         
mof_72                        0.0001         0.0011         
ni_dobdc                      0.0002         0.0016         
nu_100sp                      0.0002         0.0024         
nu_108_cu                     0.0001         0.0014         
nu_108_zn                     0.0001         0.0012         
pcn_60                        0.0018         0.0173         
pcn_61                        0.0010         0.0097         
pcn_68                        0.0002         0.0022         
uio_66                        0.0645         0.6211         
zif_1                         0.0005         0.0044         
zif_10                        0.0001         0.0014         
zif_11                        0.0033         0.0325         
zif_2                         0.0004         0.0042         
zif_20                        0.0804         0.7741         
zif_3                         0.0007         0.0068         
zif_4                         0.0027         0.0267         
zif_5                         0.0004         0.0035         
zif_6                         0.0001         0.0015         
zif_68                        0.0026         0.0257         
zif_69                        0.0057         0.0556         
zif_7                         0.0442         0.4272         
zif_71                        0.0350         0.2830         
zif_77                        0.0022         0.0219         
zif_8                         0.0002         0.0020         
zif_80                        0.0030         0.0292         
zif_9                         0.0274         0.2684         
zif_90                        0.0002         0.0016         
zif_93                        0.0040         0.0414         
zif_96                        0.0033         0.0322         
zif_97                        0.0071         0.0703         
zn_dobdc                      0.0002         0.0022         
znbdc                         0.0003         0.0033         
znhbdc                        0.0002         0.0018         
znmof_74                      0.0001         0.0015         
zr_tpdc                       0.0004         0.0037         
