MaterialsName                 10.0kPa        100.0kPa       

str_m1_o10_o16_pcu_s_ID_1     -3.0920        -3.1650        
str_m1_o10_o16_pcu_s_ID_10    -2.0325        -2.7385        
str_m1_o10_o16_pcu_s_ID_100   -1.6244        -0.6308        
str_m1_o10_o16_pcu_s_ID_101   -4.2057        -10.6838       
str_m1_o10_o16_pcu_s_ID_102   -3.6781        -5.4397        
str_m1_o10_o16_pcu_s_ID_103   -2.0218        0.0000         
str_m1_o10_o16_pcu_s_ID_104   -1.1463        -1.6693        
str_m1_o10_o16_pcu_s_ID_105   -1.0324        -1.4347        
str_m1_o10_o16_pcu_s_ID_106   -1.1362        -2.7232        
str_m1_o10_o16_pcu_s_ID_107   -2.2652        -0.6205        
str_m1_o10_o16_pcu_s_ID_108   -1.0492        -2.0608        
str_m1_o10_o16_pcu_s_ID_109   -1.0531        -0.3370        
str_m1_o10_o16_pcu_s_ID_11    -2.8381        -2.9259        
str_m1_o10_o16_pcu_s_ID_110   -0.8063        -1.4891        
str_m1_o10_o16_pcu_s_ID_111   -1.3573        0.0000         
str_m1_o10_o16_pcu_s_ID_112   -1.8658        0.0000         
str_m1_o10_o16_pcu_s_ID_113   -3.8370        -3.4691        
str_m1_o10_o16_pcu_s_ID_114   -0.7730        -1.9334        
str_m1_o10_o16_pcu_s_ID_115   -2.2054        -4.3830        
str_m1_o10_o16_pcu_s_ID_116   -1.5521        -2.0009        
str_m1_o10_o16_pcu_s_ID_117   -1.6975        -1.7965        
str_m1_o10_o16_pcu_s_ID_118   -2.2507        -1.6694        
str_m1_o10_o16_pcu_s_ID_119   -1.4234        -3.1573        
str_m1_o10_o16_pcu_s_ID_12    0.0000         -0.5557        
str_m1_o10_o16_pcu_s_ID_120   -0.8771        -6.7935        
str_m1_o10_o16_pcu_s_ID_121   -0.3539        -2.8618        
str_m1_o10_o16_pcu_s_ID_122   -1.6144        -2.4180        
str_m1_o10_o16_pcu_s_ID_123   -0.8354        -6.4649        
str_m1_o10_o16_pcu_s_ID_124   -2.5143        -5.1687        
str_m1_o10_o16_pcu_s_ID_125   -2.1170        -3.3756        
str_m1_o10_o16_pcu_s_ID_126   -1.2179        -2.8820        
str_m1_o10_o16_pcu_s_ID_127   -0.9938        -0.2702        
str_m1_o10_o16_pcu_s_ID_128   -1.3233        -1.5117        
str_m1_o10_o16_pcu_s_ID_129   -3.7489        -3.1205        
str_m1_o10_o16_pcu_s_ID_13    -1.1954        -1.6889        
str_m1_o10_o16_pcu_s_ID_130   -0.7455        -3.3135        
str_m1_o10_o16_pcu_s_ID_131   -0.3336        -2.7156        
str_m1_o10_o16_pcu_s_ID_132   -1.7230        -3.6702        
str_m1_o10_o16_pcu_s_ID_133   -2.0623        -1.8243        
str_m1_o10_o16_pcu_s_ID_134   -2.4878        -2.4412        
str_m1_o10_o16_pcu_s_ID_135   -2.1224        -1.3075        
str_m1_o10_o16_pcu_s_ID_136   -2.0393        -1.2146        
str_m1_o10_o16_pcu_s_ID_137   -1.7299        -4.5056        
str_m1_o10_o16_pcu_s_ID_138   -0.2942        -5.5503        
str_m1_o10_o16_pcu_s_ID_139   -4.0304        -4.1355        
str_m1_o10_o16_pcu_s_ID_14    -3.0537        -0.3471        
str_m1_o10_o16_pcu_s_ID_140   -0.4542        -1.0944        
str_m1_o10_o16_pcu_s_ID_141   -0.4215        -1.8236        
str_m1_o10_o16_pcu_s_ID_142   -2.3253        -1.0124        
str_m1_o10_o16_pcu_s_ID_143   -2.2910        -1.2994        
str_m1_o10_o16_pcu_s_ID_144   -0.4768        -0.7677        
str_m1_o10_o16_pcu_s_ID_145   -0.8046        -3.8735        
str_m1_o10_o16_pcu_s_ID_146   -0.3960        -0.5654        
str_m1_o10_o16_pcu_s_ID_147   -0.8273        -6.3717        
str_m1_o10_o16_pcu_s_ID_148   -0.9290        -2.6977        
str_m1_o10_o16_pcu_s_ID_149   -1.1164        -1.3743        
str_m1_o10_o16_pcu_s_ID_15    -1.0092        0.0000         
str_m1_o10_o16_pcu_s_ID_150   -1.4981        -10.7296       
str_m1_o10_o16_pcu_s_ID_151   -1.0766        -1.1745        
str_m1_o10_o16_pcu_s_ID_152   -0.9065        -0.5360        
str_m1_o10_o16_pcu_s_ID_153   -4.8022        0.0000         
str_m1_o10_o16_pcu_s_ID_154   -1.7285        -10.9110       
str_m1_o10_o16_pcu_s_ID_155   -3.2153        -1.5149        
str_m1_o10_o16_pcu_s_ID_156   -1.4376        -1.3362        
str_m1_o10_o16_pcu_s_ID_157   -1.0592        -0.8769        
str_m1_o10_o16_pcu_s_ID_158   -1.8498        0.0000         
str_m1_o10_o16_pcu_s_ID_159   -1.5095        -5.4370        
str_m1_o10_o16_pcu_s_ID_16    -0.3940        -3.4439        
str_m1_o10_o16_pcu_s_ID_160   -1.2801        -3.2678        
str_m1_o10_o16_pcu_s_ID_161   0.0000         0.0000         
str_m1_o10_o16_pcu_s_ID_162   -2.7742        -2.0634        
str_m1_o10_o16_pcu_s_ID_163   -1.1183        -1.2294        
str_m1_o10_o16_pcu_s_ID_164   -2.1682        0.0000         
str_m1_o10_o16_pcu_s_ID_165   -0.8099        0.0000         
str_m1_o10_o16_pcu_s_ID_166   -0.9514        -8.9687        
str_m1_o10_o16_pcu_s_ID_167   -0.8485        -1.6765        
str_m1_o10_o16_pcu_s_ID_168   -2.3045        -3.3180        
str_m1_o10_o16_pcu_s_ID_169   -1.4347        -1.1277        
str_m1_o10_o16_pcu_s_ID_17    -2.3710        -2.4921        
str_m1_o10_o16_pcu_s_ID_170   -1.0565        -3.4169        
str_m1_o10_o16_pcu_s_ID_171   -2.0268        -9.1182        
str_m1_o10_o16_pcu_s_ID_172   -3.1257        -4.0824        
str_m1_o10_o16_pcu_s_ID_173   -1.9557        -1.0934        
str_m1_o10_o16_pcu_s_ID_174   -0.3166        -2.7726        
str_m1_o10_o16_pcu_s_ID_175   -1.3233        -2.1568        
str_m1_o10_o16_pcu_s_ID_176   -1.0397        -0.6766        
str_m1_o10_o16_pcu_s_ID_177   -0.6734        0.0000         
str_m1_o10_o16_pcu_s_ID_178   -1.4641        0.0000         
str_m1_o10_o16_pcu_s_ID_179   -2.0748        -2.3431        
str_m1_o10_o16_pcu_s_ID_18    -1.2802        -2.5757        
str_m1_o10_o16_pcu_s_ID_180   -2.1627        -2.4816        
str_m1_o10_o16_pcu_s_ID_181   -1.8020        -7.0187        
str_m1_o10_o16_pcu_s_ID_182   -8.8198        -13.2537       
str_m1_o10_o16_pcu_s_ID_183   -2.0134        -1.8940        
str_m1_o10_o16_pcu_s_ID_184   -2.6922        -4.9818        
str_m1_o10_o16_pcu_s_ID_185   -1.1527        -0.3066        
str_m1_o10_o16_pcu_s_ID_186   -1.4223        -5.0548        
str_m1_o10_o16_pcu_s_ID_187   -1.2207        -2.2934        
