MaterialsName                10.0kPa        

str_m1_o10_o16_pcu_s_ID_1     0.0162         
str_m1_o10_o16_pcu_s_ID_10    3.6545         
str_m1_o10_o16_pcu_s_ID_100   0.0341         
str_m1_o10_o16_pcu_s_ID_101   2.4654         
str_m1_o10_o16_pcu_s_ID_102   0.2901         
str_m1_o10_o16_pcu_s_ID_103   0.0100         
str_m1_o10_o16_pcu_s_ID_104   0.4199         
str_m1_o10_o16_pcu_s_ID_105   0.2370         
str_m1_o10_o16_pcu_s_ID_106   0.0860         
str_m1_o10_o16_pcu_s_ID_107   0.5240         
str_m1_o10_o16_pcu_s_ID_108   0.1472         
str_m1_o10_o16_pcu_s_ID_109   0.1286         
str_m1_o10_o16_pcu_s_ID_11    1.2984         
str_m1_o10_o16_pcu_s_ID_110   0.0108         
str_m1_o10_o16_pcu_s_ID_111   2.1343         
str_m1_o10_o16_pcu_s_ID_112   0.2450         
str_m1_o10_o16_pcu_s_ID_113   0.1121         
str_m1_o10_o16_pcu_s_ID_114   0.5006         
str_m1_o10_o16_pcu_s_ID_115   0.3444         
str_m1_o10_o16_pcu_s_ID_116   0.1388         
str_m1_o10_o16_pcu_s_ID_117   0.3598         
str_m1_o10_o16_pcu_s_ID_118   0.0112         
str_m1_o10_o16_pcu_s_ID_119   0.5226         
str_m1_o10_o16_pcu_s_ID_12    0.1778         
str_m1_o10_o16_pcu_s_ID_120   0.5619         
str_m1_o10_o16_pcu_s_ID_121   0.8729         
str_m1_o10_o16_pcu_s_ID_122   0.4919         
str_m1_o10_o16_pcu_s_ID_123   1.1777         
str_m1_o10_o16_pcu_s_ID_124   0.1720         
str_m1_o10_o16_pcu_s_ID_125   0.2320         
str_m1_o10_o16_pcu_s_ID_126   0.0874         
str_m1_o10_o16_pcu_s_ID_127   0.0354         
str_m1_o10_o16_pcu_s_ID_128   0.0129         
str_m1_o10_o16_pcu_s_ID_129   0.2345         
str_m1_o10_o16_pcu_s_ID_13    0.2008         
str_m1_o10_o16_pcu_s_ID_130   0.3697         
str_m1_o10_o16_pcu_s_ID_131   0.3083         
str_m1_o10_o16_pcu_s_ID_132   0.0863         
str_m1_o10_o16_pcu_s_ID_133   0.7701         
str_m1_o10_o16_pcu_s_ID_134   0.2983         
str_m1_o10_o16_pcu_s_ID_135   0.0319         
str_m1_o10_o16_pcu_s_ID_136   0.0030         
str_m1_o10_o16_pcu_s_ID_137   0.1172         
str_m1_o10_o16_pcu_s_ID_138   0.0000         
str_m1_o10_o16_pcu_s_ID_139   0.0341         
str_m1_o10_o16_pcu_s_ID_14    0.3749         
str_m1_o10_o16_pcu_s_ID_140   0.0202         
str_m1_o10_o16_pcu_s_ID_141   0.0033         
str_m1_o10_o16_pcu_s_ID_142   0.0125         
str_m1_o10_o16_pcu_s_ID_143   0.7179         
str_m1_o10_o16_pcu_s_ID_144   0.0023         
str_m1_o10_o16_pcu_s_ID_145   0.5741         
str_m1_o10_o16_pcu_s_ID_146   0.1797         
str_m1_o10_o16_pcu_s_ID_147   0.0116         
str_m1_o10_o16_pcu_s_ID_148   0.3079         
str_m1_o10_o16_pcu_s_ID_149   0.0640         
str_m1_o10_o16_pcu_s_ID_15    0.9817         
str_m1_o10_o16_pcu_s_ID_150   2.2006         
str_m1_o10_o16_pcu_s_ID_151   0.0089         
str_m1_o10_o16_pcu_s_ID_152   0.1962         
str_m1_o10_o16_pcu_s_ID_153   0.6112         
str_m1_o10_o16_pcu_s_ID_154   1.1689         
str_m1_o10_o16_pcu_s_ID_155   1.3323         
str_m1_o10_o16_pcu_s_ID_156   0.0927         
str_m1_o10_o16_pcu_s_ID_157   0.0000         
str_m1_o10_o16_pcu_s_ID_158   0.1430         
str_m1_o10_o16_pcu_s_ID_159   1.9107         
str_m1_o10_o16_pcu_s_ID_16    0.2470         
str_m1_o10_o16_pcu_s_ID_160   0.0453         
str_m1_o10_o16_pcu_s_ID_161   0.0046         
str_m1_o10_o16_pcu_s_ID_162   0.1411         
str_m1_o10_o16_pcu_s_ID_163   0.1094         
str_m1_o10_o16_pcu_s_ID_164   0.8222         
str_m1_o10_o16_pcu_s_ID_165   0.0841         
str_m1_o10_o16_pcu_s_ID_166   0.1436         
str_m1_o10_o16_pcu_s_ID_167   0.1343         
str_m1_o10_o16_pcu_s_ID_168   0.2239         
str_m1_o10_o16_pcu_s_ID_169   0.3072         
str_m1_o10_o16_pcu_s_ID_17    1.2170         
str_m1_o10_o16_pcu_s_ID_170   0.0820         
str_m1_o10_o16_pcu_s_ID_171   0.0640         
str_m1_o10_o16_pcu_s_ID_172   0.7765         
str_m1_o10_o16_pcu_s_ID_173   0.5423         
str_m1_o10_o16_pcu_s_ID_174   0.3034         
str_m1_o10_o16_pcu_s_ID_175   0.5368         
str_m1_o10_o16_pcu_s_ID_176   0.2812         
str_m1_o10_o16_pcu_s_ID_177   1.4088         
str_m1_o10_o16_pcu_s_ID_178   0.3280         
str_m1_o10_o16_pcu_s_ID_179   0.0000         
str_m1_o10_o16_pcu_s_ID_18    0.5483         
str_m1_o10_o16_pcu_s_ID_180   0.1979         
str_m1_o10_o16_pcu_s_ID_181   0.3146         
str_m1_o10_o16_pcu_s_ID_182   1.0788         
str_m1_o10_o16_pcu_s_ID_183   0.1778         
str_m1_o10_o16_pcu_s_ID_184   1.6377         
str_m1_o10_o16_pcu_s_ID_185   0.9918         
str_m1_o10_o16_pcu_s_ID_186   0.1270         
str_m1_o10_o16_pcu_s_ID_187   1.3878         
str_m1_o10_o16_pcu_s_ID_188   0.1085         
str_m1_o10_o16_pcu_s_ID_189   0.0836         
str_m1_o10_o16_pcu_s_ID_19    0.0029         
str_m1_o10_o16_pcu_s_ID_190   0.3128         
str_m1_o10_o16_pcu_s_ID_191   0.2370         
str_m1_o10_o16_pcu_s_ID_192   1.1655         
str_m1_o10_o16_pcu_s_ID_193   0.1711         
str_m1_o10_o16_pcu_s_ID_194   0.0986         
str_m1_o10_o16_pcu_s_ID_195   0.1542         
str_m1_o10_o16_pcu_s_ID_196   0.0000         
