MaterialsName                10.0kPa        100.0kPa       

str_m1_o10_o16_pcu_s_ID_1     0.0805         0.1836         
str_m1_o10_o16_pcu_s_ID_10    0.0568         0.0553         
str_m1_o10_o16_pcu_s_ID_100   0.0701         0.0385         
str_m1_o10_o16_pcu_s_ID_101   0.0757         0.3010         
str_m1_o10_o16_pcu_s_ID_102   0.0949         0.1159         
str_m1_o10_o16_pcu_s_ID_103   0.0361         0.0210         
str_m1_o10_o16_pcu_s_ID_104   0.0426         0.0372         
str_m1_o10_o16_pcu_s_ID_105   0.0682         0.0383         
str_m1_o10_o16_pcu_s_ID_106   0.0288         0.0653         
str_m1_o10_o16_pcu_s_ID_107   0.0556         0.2021         
str_m1_o10_o16_pcu_s_ID_108   0.0359         0.0767         
str_m1_o10_o16_pcu_s_ID_109   0.0590         0.0186         
str_m1_o10_o16_pcu_s_ID_11    0.0305         0.1366         
str_m1_o10_o16_pcu_s_ID_110   0.0298         0.0703         
str_m1_o10_o16_pcu_s_ID_111   0.0159         0.0039         
str_m1_o10_o16_pcu_s_ID_112   0.0606         0.0188         
str_m1_o10_o16_pcu_s_ID_113   0.0916         0.1653         
str_m1_o10_o16_pcu_s_ID_114   0.0692         0.0723         
str_m1_o10_o16_pcu_s_ID_115   0.0316         0.1215         
str_m1_o10_o16_pcu_s_ID_116   0.0537         0.0945         
str_m1_o10_o16_pcu_s_ID_117   0.0513         0.0550         
str_m1_o10_o16_pcu_s_ID_118   0.0573         0.0864         
str_m1_o10_o16_pcu_s_ID_119   0.0505         0.0928         
str_m1_o10_o16_pcu_s_ID_12    0.0134         0.0151         
str_m1_o10_o16_pcu_s_ID_120   0.0315         0.2273         
str_m1_o10_o16_pcu_s_ID_121   0.0462         0.0950         
str_m1_o10_o16_pcu_s_ID_122   0.0530         0.0557         
str_m1_o10_o16_pcu_s_ID_123   0.0631         0.1708         
str_m1_o10_o16_pcu_s_ID_124   0.0665         0.1793         
str_m1_o10_o16_pcu_s_ID_125   0.0399         0.1011         
str_m1_o10_o16_pcu_s_ID_126   0.0397         0.0967         
str_m1_o10_o16_pcu_s_ID_127   0.0570         0.0089         
str_m1_o10_o16_pcu_s_ID_128   0.0414         0.0711         
str_m1_o10_o16_pcu_s_ID_129   0.0617         0.1289         
str_m1_o10_o16_pcu_s_ID_13    0.0588         0.0940         
str_m1_o10_o16_pcu_s_ID_130   0.0371         0.3317         
str_m1_o10_o16_pcu_s_ID_131   0.0717         0.1074         
str_m1_o10_o16_pcu_s_ID_132   0.0540         0.1302         
str_m1_o10_o16_pcu_s_ID_133   0.0544         0.0620         
str_m1_o10_o16_pcu_s_ID_134   0.0695         0.1103         
str_m1_o10_o16_pcu_s_ID_135   0.0602         0.0477         
str_m1_o10_o16_pcu_s_ID_136   0.0523         0.0690         
str_m1_o10_o16_pcu_s_ID_137   0.0752         0.1353         
str_m1_o10_o16_pcu_s_ID_138   0.0276         0.2012         
str_m1_o10_o16_pcu_s_ID_139   0.0500         0.1586         
str_m1_o10_o16_pcu_s_ID_14    0.0766         0.0286         
