MaterialsName                10.0kPa        

str_m1_o10_o16_pcu_s_ID_1     100.5416       
str_m1_o10_o16_pcu_s_ID_10    86.9930        
str_m1_o10_o16_pcu_s_ID_100   111.6278       
str_m1_o10_o16_pcu_s_ID_101   30.6817        
str_m1_o10_o16_pcu_s_ID_102   87.5225        
str_m1_o10_o16_pcu_s_ID_103   90.1854        
str_m1_o10_o16_pcu_s_ID_104   44.3459        
str_m1_o10_o16_pcu_s_ID_105   72.7581        
str_m1_o10_o16_pcu_s_ID_106   60.8901        
str_m1_o10_o16_pcu_s_ID_107   106.2559       
str_m1_o10_o16_pcu_s_ID_108   101.6708       
str_m1_o10_o16_pcu_s_ID_109   91.4833        
str_m1_o10_o16_pcu_s_ID_11    49.0286        
str_m1_o10_o16_pcu_s_ID_110   92.3465        
str_m1_o10_o16_pcu_s_ID_111   79.0713        
str_m1_o10_o16_pcu_s_ID_112   87.7829        
str_m1_o10_o16_pcu_s_ID_113   94.6761        
str_m1_o10_o16_pcu_s_ID_114   95.6006        
str_m1_o10_o16_pcu_s_ID_115   79.6413        
str_m1_o10_o16_pcu_s_ID_116   100.9699       
str_m1_o10_o16_pcu_s_ID_117   105.3923       
str_m1_o10_o16_pcu_s_ID_118   88.3272        
str_m1_o10_o16_pcu_s_ID_119   83.6405        
str_m1_o10_o16_pcu_s_ID_12    14.1865        
str_m1_o10_o16_pcu_s_ID_120   80.6954        
str_m1_o10_o16_pcu_s_ID_121   107.2225       
str_m1_o10_o16_pcu_s_ID_122   100.6648       
str_m1_o10_o16_pcu_s_ID_123   83.5538        
str_m1_o10_o16_pcu_s_ID_124   100.4620       
str_m1_o10_o16_pcu_s_ID_125   79.4394        
str_m1_o10_o16_pcu_s_ID_126   92.8740        
str_m1_o10_o16_pcu_s_ID_127   100.0988       
str_m1_o10_o16_pcu_s_ID_128   94.9985        
str_m1_o10_o16_pcu_s_ID_129   90.4117        
str_m1_o10_o16_pcu_s_ID_13    84.8348        
str_m1_o10_o16_pcu_s_ID_130   97.9030        
str_m1_o10_o16_pcu_s_ID_131   112.1142       
str_m1_o10_o16_pcu_s_ID_132   104.0589       
str_m1_o10_o16_pcu_s_ID_133   106.0498       
str_m1_o10_o16_pcu_s_ID_134   104.1020       
str_m1_o10_o16_pcu_s_ID_135   73.6144        
str_m1_o10_o16_pcu_s_ID_136   96.4016        
str_m1_o10_o16_pcu_s_ID_137   110.8139       
str_m1_o10_o16_pcu_s_ID_138   75.7749        
str_m1_o10_o16_pcu_s_ID_139   97.0688        
str_m1_o10_o16_pcu_s_ID_14    100.3400       
str_m1_o10_o16_pcu_s_ID_140   73.7202        
str_m1_o10_o16_pcu_s_ID_141   57.5645        
str_m1_o10_o16_pcu_s_ID_142   110.7331       
str_m1_o10_o16_pcu_s_ID_143   99.5095        
str_m1_o10_o16_pcu_s_ID_144   96.0979        
str_m1_o10_o16_pcu_s_ID_145   94.1084        
str_m1_o10_o16_pcu_s_ID_146   98.8485        
str_m1_o10_o16_pcu_s_ID_147   105.0094       
str_m1_o10_o16_pcu_s_ID_148   99.9678        
str_m1_o10_o16_pcu_s_ID_149   93.1354        
str_m1_o10_o16_pcu_s_ID_15    97.9800        
str_m1_o10_o16_pcu_s_ID_150   78.4964        
str_m1_o10_o16_pcu_s_ID_151   91.7979        
str_m1_o10_o16_pcu_s_ID_152   105.1098       
str_m1_o10_o16_pcu_s_ID_153   69.0518        
str_m1_o10_o16_pcu_s_ID_154   67.2885        
str_m1_o10_o16_pcu_s_ID_155   93.7448        
str_m1_o10_o16_pcu_s_ID_156   105.2642       
str_m1_o10_o16_pcu_s_ID_157   73.0000        
str_m1_o10_o16_pcu_s_ID_158   59.1263        
str_m1_o10_o16_pcu_s_ID_159   92.2290        
str_m1_o10_o16_pcu_s_ID_16    83.6432        
str_m1_o10_o16_pcu_s_ID_160   104.6195       
str_m1_o10_o16_pcu_s_ID_161   95.8001        
str_m1_o10_o16_pcu_s_ID_162   74.4499        
str_m1_o10_o16_pcu_s_ID_163   92.9019        
str_m1_o10_o16_pcu_s_ID_164   73.7345        
str_m1_o10_o16_pcu_s_ID_165   102.4569       
str_m1_o10_o16_pcu_s_ID_166   63.1614        
str_m1_o10_o16_pcu_s_ID_167   76.0881        
str_m1_o10_o16_pcu_s_ID_168   100.0853       
str_m1_o10_o16_pcu_s_ID_169   109.8268       
str_m1_o10_o16_pcu_s_ID_17    80.5501        
str_m1_o10_o16_pcu_s_ID_170   101.7626       
str_m1_o10_o16_pcu_s_ID_171   85.6653        
str_m1_o10_o16_pcu_s_ID_172   113.2119       
str_m1_o10_o16_pcu_s_ID_173   110.8267       
str_m1_o10_o16_pcu_s_ID_174   89.2869        
str_m1_o10_o16_pcu_s_ID_175   106.1089       
str_m1_o10_o16_pcu_s_ID_176   107.3594       
str_m1_o10_o16_pcu_s_ID_177   21.5047        
str_m1_o10_o16_pcu_s_ID_178   90.1252        
str_m1_o10_o16_pcu_s_ID_179   54.0000        
str_m1_o10_o16_pcu_s_ID_18    76.4453        
str_m1_o10_o16_pcu_s_ID_180   98.6967        
str_m1_o10_o16_pcu_s_ID_181   94.6665        
str_m1_o10_o16_pcu_s_ID_182   33.7297        
str_m1_o10_o16_pcu_s_ID_183   58.6022        
str_m1_o10_o16_pcu_s_ID_184   84.3379        
str_m1_o10_o16_pcu_s_ID_185   83.2894        
str_m1_o10_o16_pcu_s_ID_186   103.2661       
str_m1_o10_o16_pcu_s_ID_187   108.0704       
str_m1_o10_o16_pcu_s_ID_188   84.3357        
str_m1_o10_o16_pcu_s_ID_189   94.9311        
str_m1_o10_o16_pcu_s_ID_19    102.4343       
str_m1_o10_o16_pcu_s_ID_190   105.0759       
str_m1_o10_o16_pcu_s_ID_191   109.2098       
str_m1_o10_o16_pcu_s_ID_192   88.1249        
str_m1_o10_o16_pcu_s_ID_193   76.6954        
str_m1_o10_o16_pcu_s_ID_194   71.1598        
str_m1_o10_o16_pcu_s_ID_195   95.1798        
str_m1_o10_o16_pcu_s_ID_196   54.0000        
str_m1_o10_o16_pcu_s_ID_197   109.8788       
str_m1_o10_o16_pcu_s_ID_198   36.0000        
str_m1_o10_o16_pcu_s_ID_199   66.2411        
str_m1_o10_o16_pcu_s_ID_2     52.3753        
str_m1_o10_o16_pcu_s_ID_20    107.8506       
str_m1_o10_o16_pcu_s_ID_200   105.4626       
str_m1_o10_o16_pcu_s_ID_201   104.1281       
str_m1_o10_o16_pcu_s_ID_202   61.5860        
str_m1_o10_o16_pcu_s_ID_203   39.6190        
str_m1_o10_o16_pcu_s_ID_204   47.7453        
str_m1_o10_o16_pcu_s_ID_205   85.8110        
str_m1_o10_o16_pcu_s_ID_206   82.8167        
str_m1_o10_o16_pcu_s_ID_207   60.0058        
str_m1_o10_o16_pcu_s_ID_208   83.1288        
str_m1_o10_o16_pcu_s_ID_209   89.8483        
str_m1_o10_o16_pcu_s_ID_21    109.3385       
str_m1_o10_o16_pcu_s_ID_210   113.4071       
str_m1_o10_o16_pcu_s_ID_211   106.4957       
str_m1_o10_o16_pcu_s_ID_212   51.1826        
str_m1_o10_o16_pcu_s_ID_213   69.9035        
str_m1_o10_o16_pcu_s_ID_214   92.9653        
str_m1_o10_o16_pcu_s_ID_215   82.7289        
str_m1_o10_o16_pcu_s_ID_216   90.7925        
str_m1_o10_o16_pcu_s_ID_217   89.8051        
str_m1_o10_o16_pcu_s_ID_218   41.9780        
str_m1_o10_o16_pcu_s_ID_219   102.5515       
str_m1_o10_o16_pcu_s_ID_22    67.6428        
str_m1_o10_o16_pcu_s_ID_220   71.9858        
str_m1_o10_o16_pcu_s_ID_221   89.9615        
str_m1_o10_o16_pcu_s_ID_222   91.0348        
str_m1_o10_o16_pcu_s_ID_223   92.2697        
str_m1_o10_o16_pcu_s_ID_224   84.1225        
str_m1_o10_o16_pcu_s_ID_225   99.0413        
str_m1_o10_o16_pcu_s_ID_226   28.2893        
str_m1_o10_o16_pcu_s_ID_227   89.5592        
str_m1_o10_o16_pcu_s_ID_228   97.4169        
str_m1_o10_o16_pcu_s_ID_229   90.3464        
str_m1_o10_o16_pcu_s_ID_23    92.1295        
str_m1_o10_o16_pcu_s_ID_230   91.6214        
str_m1_o10_o16_pcu_s_ID_231   105.2335       
str_m1_o10_o16_pcu_s_ID_232   76.2885        
str_m1_o10_o16_pcu_s_ID_233   89.8986        
str_m1_o10_o16_pcu_s_ID_234   105.1913       
str_m1_o10_o16_pcu_s_ID_235   91.7041        
str_m1_o10_o16_pcu_s_ID_236   84.3559        
str_m1_o10_o16_pcu_s_ID_237   82.8684        
str_m1_o10_o16_pcu_s_ID_238   97.8286        
str_m1_o10_o16_pcu_s_ID_239   93.8708        
str_m1_o10_o16_pcu_s_ID_24    67.5668        
str_m1_o10_o16_pcu_s_ID_240   48.7068        
str_m1_o10_o16_pcu_s_ID_241   61.3184        
