MaterialsName                 10.0kPa        

str_m2_o10_o16_pcu_s_ID_1     -28.8133       
str_m2_o10_o16_pcu_s_ID_10    -44.8776       
str_m2_o10_o16_pcu_s_ID_100   -2.5252        
str_m2_o10_o16_pcu_s_ID_101   -33.9001       
str_m2_o10_o16_pcu_s_ID_102   -51.4346       
str_m2_o10_o16_pcu_s_ID_103   0.0000         
str_m2_o10_o16_pcu_s_ID_104   0.0000         
str_m2_o10_o16_pcu_s_ID_105   -2.5674        
str_m2_o10_o16_pcu_s_ID_106   -49.3811       
str_m2_o10_o16_pcu_s_ID_107   -45.0031       
str_m2_o10_o16_pcu_s_ID_108   0.0000         
str_m2_o10_o16_pcu_s_ID_109   -57.5672       
str_m2_o10_o16_pcu_s_ID_11    -30.2155       
str_m2_o10_o16_pcu_s_ID_110   -43.1790       
str_m2_o10_o16_pcu_s_ID_111   -34.2464       
str_m2_o10_o16_pcu_s_ID_112   -50.0904       
str_m2_o10_o16_pcu_s_ID_113   -27.9568       
str_m2_o10_o16_pcu_s_ID_114   0.0000         
str_m2_o10_o16_pcu_s_ID_115   -26.6533       
str_m2_o10_o16_pcu_s_ID_116   0.0000         
str_m2_o10_o16_pcu_s_ID_117   -20.2097       
str_m2_o10_o16_pcu_s_ID_118   -39.5744       
str_m2_o10_o16_pcu_s_ID_119   -35.7130       
str_m2_o10_o16_pcu_s_ID_12    -10.4205       
str_m2_o10_o16_pcu_s_ID_120   0.0000         
str_m2_o10_o16_pcu_s_ID_121   0.0000         
str_m2_o10_o16_pcu_s_ID_122   -11.2385       
str_m2_o10_o16_pcu_s_ID_123   0.0000         
str_m2_o10_o16_pcu_s_ID_124   0.0000         
str_m2_o10_o16_pcu_s_ID_125   -47.7755       
str_m2_o10_o16_pcu_s_ID_126   -16.4843       
str_m2_o10_o16_pcu_s_ID_127   0.0000         
str_m2_o10_o16_pcu_s_ID_128   -26.9808       
str_m2_o10_o16_pcu_s_ID_129   -6.8570        
str_m2_o10_o16_pcu_s_ID_13    -57.1428       
str_m2_o10_o16_pcu_s_ID_130   0.0000         
str_m2_o10_o16_pcu_s_ID_131   -3.9560        
str_m2_o10_o16_pcu_s_ID_132   -36.5582       
str_m2_o10_o16_pcu_s_ID_133   -31.3837       
str_m2_o10_o16_pcu_s_ID_134   0.0000         
str_m2_o10_o16_pcu_s_ID_135   0.0000         
str_m2_o10_o16_pcu_s_ID_136   0.0000         
str_m2_o10_o16_pcu_s_ID_137   -4.3576        
str_m2_o10_o16_pcu_s_ID_138   -24.1426       
str_m2_o10_o16_pcu_s_ID_139   -0.6004        
str_m2_o10_o16_pcu_s_ID_14    -0.4850        
str_m2_o10_o16_pcu_s_ID_140   -30.1927       
str_m2_o10_o16_pcu_s_ID_141   -17.9559       
str_m2_o10_o16_pcu_s_ID_142   -44.3125       
str_m2_o10_o16_pcu_s_ID_143   -19.5033       
str_m2_o10_o16_pcu_s_ID_144   -9.9788        
str_m2_o10_o16_pcu_s_ID_145   -1.6239        
str_m2_o10_o16_pcu_s_ID_146   0.0000         
str_m2_o10_o16_pcu_s_ID_147   -30.2830       
str_m2_o10_o16_pcu_s_ID_148   -25.2926       
str_m2_o10_o16_pcu_s_ID_149   0.0000         
str_m2_o10_o16_pcu_s_ID_15    0.0000         
str_m2_o10_o16_pcu_s_ID_150   -6.7419        
str_m2_o10_o16_pcu_s_ID_151   -27.3765       
str_m2_o10_o16_pcu_s_ID_152   0.0000         
str_m2_o10_o16_pcu_s_ID_153   -52.9850       
str_m2_o10_o16_pcu_s_ID_154   0.0000         
str_m2_o10_o16_pcu_s_ID_155   -28.8374       
str_m2_o10_o16_pcu_s_ID_156   -24.8616       
str_m2_o10_o16_pcu_s_ID_157   -57.3628       
str_m2_o10_o16_pcu_s_ID_158   -38.9591       
str_m2_o10_o16_pcu_s_ID_159   -1.6753        
str_m2_o10_o16_pcu_s_ID_16    -47.5490       
str_m2_o10_o16_pcu_s_ID_160   0.0000         
str_m2_o10_o16_pcu_s_ID_161   0.0000         
str_m2_o10_o16_pcu_s_ID_162   0.0000         
str_m2_o10_o16_pcu_s_ID_163   0.0000         
str_m2_o10_o16_pcu_s_ID_164   -17.9856       
str_m2_o10_o16_pcu_s_ID_165   -4.2857        
str_m2_o10_o16_pcu_s_ID_166   -1.6385        
str_m2_o10_o16_pcu_s_ID_167   -46.6271       
str_m2_o10_o16_pcu_s_ID_168   0.0000         
str_m2_o10_o16_pcu_s_ID_169   -11.6554       
str_m2_o10_o16_pcu_s_ID_17    -3.8870        
str_m2_o10_o16_pcu_s_ID_170   -0.6053        
str_m2_o10_o16_pcu_s_ID_171   0.0000         
str_m2_o10_o16_pcu_s_ID_172   -9.0814        
str_m2_o10_o16_pcu_s_ID_173   -52.5929       
str_m2_o10_o16_pcu_s_ID_174   0.0000         
str_m2_o10_o16_pcu_s_ID_175   -48.0371       
str_m2_o10_o16_pcu_s_ID_176   -27.3754       
str_m2_o10_o16_pcu_s_ID_177   -57.3321       
str_m2_o10_o16_pcu_s_ID_178   0.0000         
str_m2_o10_o16_pcu_s_ID_179   -39.0991       
str_m2_o10_o16_pcu_s_ID_18    -47.6741       
str_m2_o10_o16_pcu_s_ID_180   -47.9619       
str_m2_o10_o16_pcu_s_ID_181   -79.0491       
str_m2_o10_o16_pcu_s_ID_182   0.0000         
str_m2_o10_o16_pcu_s_ID_183   0.0000         
str_m2_o10_o16_pcu_s_ID_184   -2.0634        
str_m2_o10_o16_pcu_s_ID_185   -30.0772       
str_m2_o10_o16_pcu_s_ID_186   0.0000         
str_m2_o10_o16_pcu_s_ID_187   0.0000         
str_m2_o10_o16_pcu_s_ID_188   0.0000         
str_m2_o10_o16_pcu_s_ID_189   -19.5126       
str_m2_o10_o16_pcu_s_ID_19    -29.1051       
str_m2_o10_o16_pcu_s_ID_190   -36.5859       
str_m2_o10_o16_pcu_s_ID_191   -4.9766        
str_m2_o10_o16_pcu_s_ID_192   -31.9008       
str_m2_o10_o16_pcu_s_ID_193   -10.6373       
str_m2_o10_o16_pcu_s_ID_194   0.0000         
str_m2_o10_o16_pcu_s_ID_195   -1.5099        
str_m2_o10_o16_pcu_s_ID_196   0.0000         
str_m2_o10_o16_pcu_s_ID_2     -56.9814       
str_m2_o10_o16_pcu_s_ID_20    0.0000         
str_m2_o10_o16_pcu_s_ID_21    0.0000         
str_m2_o10_o16_pcu_s_ID_22    0.0000         
str_m2_o10_o16_pcu_s_ID_23    -6.5368        
str_m2_o10_o16_pcu_s_ID_24    0.0000         
str_m2_o10_o16_pcu_s_ID_25    0.0000         
str_m2_o10_o16_pcu_s_ID_26    -1.9117        
str_m2_o10_o16_pcu_s_ID_27    -44.0165       
str_m2_o10_o16_pcu_s_ID_28    0.0000         
str_m2_o10_o16_pcu_s_ID_29    -35.4274       
str_m2_o10_o16_pcu_s_ID_3     -34.6461       
str_m2_o10_o16_pcu_s_ID_30    -3.3808        
str_m2_o10_o16_pcu_s_ID_31    -28.8289       
str_m2_o10_o16_pcu_s_ID_32    -26.5790       
str_m2_o10_o16_pcu_s_ID_33    -58.0177       
str_m2_o10_o16_pcu_s_ID_34    -7.6987        
str_m2_o10_o16_pcu_s_ID_35    0.0000         
str_m2_o10_o16_pcu_s_ID_36    -21.0771       
str_m2_o10_o16_pcu_s_ID_37    -32.3222       
str_m2_o10_o16_pcu_s_ID_38    0.0000         
str_m2_o10_o16_pcu_s_ID_39    -46.2425       
str_m2_o10_o16_pcu_s_ID_4     -35.0106       
str_m2_o10_o16_pcu_s_ID_40    -28.8800       
