MaterialsName                10.0kPa        100.0kPa       

str_m2_o10_o16_pcu_s_ID_1     18.0000        18.0303        
str_m2_o10_o16_pcu_s_ID_10    12.0029        14.2776        
str_m2_o10_o16_pcu_s_ID_100   21.3478        21.9447        
str_m2_o10_o16_pcu_s_ID_101   17.7031        17.9639        
str_m2_o10_o16_pcu_s_ID_102   18.0000        17.9993        
str_m2_o10_o16_pcu_s_ID_103   2.0000         2.0000         
str_m2_o10_o16_pcu_s_ID_104   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_105   5.0021         5.3131         
str_m2_o10_o16_pcu_s_ID_106   15.2001        17.5325        
str_m2_o10_o16_pcu_s_ID_107   17.9235        18.0000        
str_m2_o10_o16_pcu_s_ID_108   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_109   19.9486        20.0000        
str_m2_o10_o16_pcu_s_ID_11    16.8727        17.0000        
str_m2_o10_o16_pcu_s_ID_110   18.0000        17.9712        
str_m2_o10_o16_pcu_s_ID_111   24.0032        29.8177        
str_m2_o10_o16_pcu_s_ID_112   17.9635        18.0000        
str_m2_o10_o16_pcu_s_ID_113   17.8028        18.0000        
str_m2_o10_o16_pcu_s_ID_114   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_115   19.4669        25.5166        
str_m2_o10_o16_pcu_s_ID_116   17.5149        18.1233        
str_m2_o10_o16_pcu_s_ID_117   17.8879        18.0000        
str_m2_o10_o16_pcu_s_ID_118   17.4117        17.9869        
str_m2_o10_o16_pcu_s_ID_119   20.0246        20.4854        
str_m2_o10_o16_pcu_s_ID_12    18.0936        20.7770        
str_m2_o10_o16_pcu_s_ID_120   3.4873         4.3591         
str_m2_o10_o16_pcu_s_ID_121   18.4933        19.5268        
str_m2_o10_o16_pcu_s_ID_122   6.2349         11.1770        
str_m2_o10_o16_pcu_s_ID_123   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_124   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_125   18.4553        30.0206        
str_m2_o10_o16_pcu_s_ID_126   14.3190        17.0717        
str_m2_o10_o16_pcu_s_ID_127   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_128   17.9650        19.4814        
str_m2_o10_o16_pcu_s_ID_129   17.8020        18.8524        
str_m2_o10_o16_pcu_s_ID_13    24.5850        28.8113        
str_m2_o10_o16_pcu_s_ID_130   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_131   17.8681        19.1171        
str_m2_o10_o16_pcu_s_ID_132   17.9851        18.4834        
str_m2_o10_o16_pcu_s_ID_133   17.5114        21.6759        
str_m2_o10_o16_pcu_s_ID_134   17.8954        18.0000        
str_m2_o10_o16_pcu_s_ID_135   4.0007         4.0780         
str_m2_o10_o16_pcu_s_ID_136   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_137   0.0478         0.1712         
str_m2_o10_o16_pcu_s_ID_138   17.6612        18.0000        
str_m2_o10_o16_pcu_s_ID_139   17.7137        17.9830        
str_m2_o10_o16_pcu_s_ID_14    17.7402        17.8389        
str_m2_o10_o16_pcu_s_ID_140   16.3801        17.6332        
str_m2_o10_o16_pcu_s_ID_141   17.3998        18.4805        
str_m2_o10_o16_pcu_s_ID_142   17.8182        18.0000        
str_m2_o10_o16_pcu_s_ID_143   19.1361        20.0283        
str_m2_o10_o16_pcu_s_ID_144   7.3833         11.2834        
str_m2_o10_o16_pcu_s_ID_145   18.3095        21.0881        
