Data: 2020-01-12
Materials                                           Mol_ID                                              AtomsNumber       CellAngle                   CellLength                   SuperCell     Elements
str_m2_o10_o16_pcu_sym.1                            str_m2_o10_o16_pcu_s_ID_1                           900               95.8100,78.5000,102.6600    22.6060,26.0920,26.8540      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.10                           str_m2_o10_o16_pcu_s_ID_2                           972               93.7300,77.5000,102.0400    22.2450,26.1150,26.7910      1,1,1         C,H,N,I,Cu,O        
str_m2_o10_o16_pcu_sym.100                          str_m2_o10_o16_pcu_s_ID_3                           1080              94.4700,77.1000,103.1700    22.3030,26.2090,26.6210      1,1,1         C,H,N,Cu,O,F        
str_m2_o10_o16_pcu_sym.101                          str_m2_o10_o16_pcu_s_ID_4                           828               94.1800,78.7800,102.9900    22.3930,26.0710,26.8580      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.103                          str_m2_o10_o16_pcu_s_ID_5                           1008              96.1800,79.0100,103.2100    22.7030,26.1390,26.8060      1,1,1         C,H,N,Cu,O,F        
str_m2_o10_o16_pcu_sym.104                          str_m2_o10_o16_pcu_s_ID_6                           810               94.1400,78.6100,103.0100    22.3580,26.0760,26.8510      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.105                          str_m2_o10_o16_pcu_s_ID_7                           1368              95.6200,78.5300,103.2600    22.5000,26.2040,27.0660      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.106                          str_m2_o10_o16_pcu_s_ID_8                           792               94.0300,77.2200,103.1600    22.2750,26.0830,26.8000      1,1,1         C,H,N,Cu,O,Br       
str_m2_o10_o16_pcu_sym.107                          str_m2_o10_o16_pcu_s_ID_9                           1260              100.0900,77.8900,103.5500   22.9660,26.5440,26.8580      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.108                          str_m2_o10_o16_pcu_s_ID_10                          1134              94.0600,77.2500,103.0600    22.3150,26.1400,26.8200      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.109                          str_m2_o10_o16_pcu_s_ID_11                          900               94.5300,77.7200,103.0400    22.3580,26.1610,26.7520      1,1,1         C,H,N,Cu,O,F        
str_m2_o10_o16_pcu_sym.11                           str_m2_o10_o16_pcu_s_ID_12                          792               94.2700,77.4100,103.2400    22.3260,26.0790,26.8060      1,1,1         C,H,N,Cu,O,F        
str_m2_o10_o16_pcu_sym.110                          str_m2_o10_o16_pcu_s_ID_13                          936               95.1900,79.0700,102.9700    22.4950,26.0700,27.1830      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.111                          str_m2_o10_o16_pcu_s_ID_14                          846               94.0200,77.1800,103.1600    22.2730,26.0830,26.8020      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.112                          str_m2_o10_o16_pcu_s_ID_15                          1008              93.0300,76.1000,102.3400    22.2240,26.1510,26.7890      1,1,1         C,H,N,Cu,O,S,F      
str_m2_o10_o16_pcu_sym.113                          str_m2_o10_o16_pcu_s_ID_16                          972               100.3900,78.7200,103.7900   22.7540,26.2620,26.9500      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.114                          str_m2_o10_o16_pcu_s_ID_17                          1008              95.2000,78.2500,103.0800    22.5280,26.0660,26.7770      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.115                          str_m2_o10_o16_pcu_s_ID_18                          828               94.2600,77.4400,102.5300    22.4280,26.1170,26.8260      1,1,1         C,H,N,I,Cu,O        
str_m2_o10_o16_pcu_sym.116                          str_m2_o10_o16_pcu_s_ID_19                          828               94.0300,77.4500,102.9500    22.2720,26.1190,26.8120      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.117                          str_m2_o10_o16_pcu_s_ID_20                          1152              95.0600,77.5500,102.8800    22.3720,26.2210,26.6380      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.118                          str_m2_o10_o16_pcu_s_ID_21                          1026              93.9700,77.3600,103.0200    22.3100,26.1270,26.5870      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.119                          str_m2_o10_o16_pcu_s_ID_22                          1152              94.7500,77.6300,103.0100    22.3690,26.0820,26.7300      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.12                           str_m2_o10_o16_pcu_s_ID_23                          792               94.2800,77.5100,103.2200    22.3330,26.0770,26.8100      1,1,1         C,H,N,Cu,O,F        
