MaterialsName                 10.0kPa        

str_m3_o10_o16_pcu_s_ID_1      NULL   
str_m3_o10_o16_pcu_s_ID_10    -77.3142       
str_m3_o10_o16_pcu_s_ID_100   -65.2109       
str_m3_o10_o16_pcu_s_ID_101   -61.3611       
str_m3_o10_o16_pcu_s_ID_102   -122.9018      
str_m3_o10_o16_pcu_s_ID_103   0.0000         
str_m3_o10_o16_pcu_s_ID_104   -19.7016       
str_m3_o10_o16_pcu_s_ID_105   -55.9684       
str_m3_o10_o16_pcu_s_ID_106   -67.7281       
str_m3_o10_o16_pcu_s_ID_107   -61.9763       
str_m3_o10_o16_pcu_s_ID_108   0.0000         
str_m3_o10_o16_pcu_s_ID_109   -87.0225       
str_m3_o10_o16_pcu_s_ID_11    -54.4729       
str_m3_o10_o16_pcu_s_ID_110   -60.7759       
str_m3_o10_o16_pcu_s_ID_111   -63.0011       
str_m3_o10_o16_pcu_s_ID_112   -74.4877       
str_m3_o10_o16_pcu_s_ID_113   -69.1187       
str_m3_o10_o16_pcu_s_ID_114   -41.6063       
str_m3_o10_o16_pcu_s_ID_115   -426.9335      
str_m3_o10_o16_pcu_s_ID_116   -116.2671      
str_m3_o10_o16_pcu_s_ID_117   -2253.9625     
str_m3_o10_o16_pcu_s_ID_118   -56.4115       
str_m3_o10_o16_pcu_s_ID_119   0.0000         
str_m3_o10_o16_pcu_s_ID_12    0.0000         
str_m3_o10_o16_pcu_s_ID_120   -55772.3440    
str_m3_o10_o16_pcu_s_ID_121   -61.8161       
str_m3_o10_o16_pcu_s_ID_122   -51.7568       
str_m3_o10_o16_pcu_s_ID_123   -25.3207       
str_m3_o10_o16_pcu_s_ID_124   -71.4808       
str_m3_o10_o16_pcu_s_ID_125   0.0000         
str_m3_o10_o16_pcu_s_ID_126   0.0000         
str_m3_o10_o16_pcu_s_ID_127   -99.0986       
str_m3_o10_o16_pcu_s_ID_128   -71.4176       
str_m3_o10_o16_pcu_s_ID_129   0.0000         
str_m3_o10_o16_pcu_s_ID_13    -59.5108       
str_m3_o10_o16_pcu_s_ID_130   -597.8966      
str_m3_o10_o16_pcu_s_ID_131   -42.3154       
str_m3_o10_o16_pcu_s_ID_132   -57.5337       
str_m3_o10_o16_pcu_s_ID_133   -60.0804       
str_m3_o10_o16_pcu_s_ID_134   -37.0704       
str_m3_o10_o16_pcu_s_ID_135   -56.4848       
str_m3_o10_o16_pcu_s_ID_136   -58.6637       
str_m3_o10_o16_pcu_s_ID_137   -22.8584       
str_m3_o10_o16_pcu_s_ID_138   -63.8541       
str_m3_o10_o16_pcu_s_ID_139   -96.6465       
str_m3_o10_o16_pcu_s_ID_14    -19071.5192    
str_m3_o10_o16_pcu_s_ID_140   0.0000         
str_m3_o10_o16_pcu_s_ID_141   0.0000         
str_m3_o10_o16_pcu_s_ID_142   -3.3968        
str_m3_o10_o16_pcu_s_ID_143   -60.7806       
str_m3_o10_o16_pcu_s_ID_144   -60.3217       
str_m3_o10_o16_pcu_s_ID_145   -64.4435       
str_m3_o10_o16_pcu_s_ID_146   -11256.8367    
str_m3_o10_o16_pcu_s_ID_147   -59.3566       
str_m3_o10_o16_pcu_s_ID_148   -115.8397      
str_m3_o10_o16_pcu_s_ID_149   -74.0523       
str_m3_o10_o16_pcu_s_ID_15    -61.0694       
str_m3_o10_o16_pcu_s_ID_150   -25.0929       
str_m3_o10_o16_pcu_s_ID_151   -2196.7942     
str_m3_o10_o16_pcu_s_ID_152   0.0000         
