MaterialsName                 10.0kPa        100.0kPa       

str_m3_o10_o16_pcu_s_ID_1     -140.0819      -1189.8100     
str_m3_o10_o16_pcu_s_ID_10    -94.9935       -76.0804       
str_m3_o10_o16_pcu_s_ID_100   -69.0457       -67.1261       
str_m3_o10_o16_pcu_s_ID_101   -62.7165       -62.1277       
str_m3_o10_o16_pcu_s_ID_102   -350.1691      -535.4539      
str_m3_o10_o16_pcu_s_ID_103   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_104   -5.3058        -9.5853        
str_m3_o10_o16_pcu_s_ID_105   -54.6087       -57.2187       
str_m3_o10_o16_pcu_s_ID_106   -67.7155       -68.1166       
str_m3_o10_o16_pcu_s_ID_107   -61.2642       -60.7831       
str_m3_o10_o16_pcu_s_ID_108   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_109   -91.3341       -80.2620       
str_m3_o10_o16_pcu_s_ID_11    -50.0220       -51.9557       
str_m3_o10_o16_pcu_s_ID_110   -61.6437       -62.1083       
str_m3_o10_o16_pcu_s_ID_111   -67.3365       -66.4031       
str_m3_o10_o16_pcu_s_ID_112   -83.8220       -71.4262       
str_m3_o10_o16_pcu_s_ID_113   -68.5025       -68.2666       
str_m3_o10_o16_pcu_s_ID_114   -10.9147       -33.3980       
str_m3_o10_o16_pcu_s_ID_115   -426.1365      -426.2569      
str_m3_o10_o16_pcu_s_ID_116   -116.0740      -114.1210      
str_m3_o10_o16_pcu_s_ID_117   -2143.2810     -2151.9581     
str_m3_o10_o16_pcu_s_ID_118   -55.8628       -56.0484       
str_m3_o10_o16_pcu_s_ID_119   0.0000         -0.3627        
str_m3_o10_o16_pcu_s_ID_12    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_120   -50126.4087    -48371.6271    
str_m3_o10_o16_pcu_s_ID_121   -61.1035       -61.6401       
str_m3_o10_o16_pcu_s_ID_122   -52.1329       -50.5785       
str_m3_o10_o16_pcu_s_ID_123   -3.7149        -15.2775       
str_m3_o10_o16_pcu_s_ID_124   -71.7941       -71.9316       
str_m3_o10_o16_pcu_s_ID_125   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_126   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_127   -126.8035      -103.3565      
str_m3_o10_o16_pcu_s_ID_128   -73.2672       -73.2480       
str_m3_o10_o16_pcu_s_ID_129   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_13    -62.6833       -62.5986       
str_m3_o10_o16_pcu_s_ID_130   -677.4828      -610.8853      
str_m3_o10_o16_pcu_s_ID_131   -17.9896       -30.6278       
str_m3_o10_o16_pcu_s_ID_132   -57.5624       -57.7332       
str_m3_o10_o16_pcu_s_ID_133   -66.3096       -61.6272       
str_m3_o10_o16_pcu_s_ID_134   -1.4441        -38.0294       
str_m3_o10_o16_pcu_s_ID_135   -55.7461       -55.6256       
str_m3_o10_o16_pcu_s_ID_136   -63.8807       -58.1682       
str_m3_o10_o16_pcu_s_ID_137   -29.4742       -29.6331       
str_m3_o10_o16_pcu_s_ID_138   -68.4640       -67.4963       
str_m3_o10_o16_pcu_s_ID_139   -98.4302       -106.1525      
str_m3_o10_o16_pcu_s_ID_14    -12954.4510    -16767.3685    
str_m3_o10_o16_pcu_s_ID_140   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_141   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_142   -0.4367        -3.4417        
str_m3_o10_o16_pcu_s_ID_143   -63.2868       -63.4506       
str_m3_o10_o16_pcu_s_ID_144   -62.8438       -63.2458       
str_m3_o10_o16_pcu_s_ID_145   -65.3518       -65.0953       
str_m3_o10_o16_pcu_s_ID_146   -12610.2698    -11845.8322    
str_m3_o10_o16_pcu_s_ID_147   -63.0298       -63.2005       
str_m3_o10_o16_pcu_s_ID_148   -170.3900      -113.8641      
str_m3_o10_o16_pcu_s_ID_149   -76.3308       -75.9101       
str_m3_o10_o16_pcu_s_ID_15    -63.0708       -63.4042       
str_m3_o10_o16_pcu_s_ID_150   -3.4294        -18.1666       
str_m3_o10_o16_pcu_s_ID_151   -1996.3033     -2222.0636     
str_m3_o10_o16_pcu_s_ID_152   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_153   -49.2985       -50.8081       
str_m3_o10_o16_pcu_s_ID_154   -1176.7963     -131.4483      
str_m3_o10_o16_pcu_s_ID_155   -115.5322      -115.3474      
str_m3_o10_o16_pcu_s_ID_156   -131.5866      -108.1167      
str_m3_o10_o16_pcu_s_ID_157   -171.0729      -167.2593      
str_m3_o10_o16_pcu_s_ID_158   -80.8815       -69.3308       
str_m3_o10_o16_pcu_s_ID_159   -87.1256       -78.4692       
str_m3_o10_o16_pcu_s_ID_16    -62.9406       -63.0390       
str_m3_o10_o16_pcu_s_ID_160   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_161   -62.8772       -63.0840       
str_m3_o10_o16_pcu_s_ID_162   -70.7302       -70.4512       
str_m3_o10_o16_pcu_s_ID_163   -58.2640       -58.8537       
str_m3_o10_o16_pcu_s_ID_17    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_18    -63.0697       -63.3031       
str_m3_o10_o16_pcu_s_ID_19    -62.2783       -62.0815       
str_m3_o10_o16_pcu_s_ID_2      NULL   -4266.1218     
str_m3_o10_o16_pcu_s_ID_20    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_21    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_22    -63.4873       -61.6231       
str_m3_o10_o16_pcu_s_ID_23    -52.9246       -53.1864       
str_m3_o10_o16_pcu_s_ID_24    -3871.5824     -3681.8960     
str_m3_o10_o16_pcu_s_ID_25    -39.4084       -46.8269       
str_m3_o10_o16_pcu_s_ID_26    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_27    -32.5477       -44.7056       
str_m3_o10_o16_pcu_s_ID_28    -4.2015        -27.9638       
str_m3_o10_o16_pcu_s_ID_29    -57.8056       -57.7174       
str_m3_o10_o16_pcu_s_ID_3     0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_30    -113.5821      -111.8136      
str_m3_o10_o16_pcu_s_ID_31    -64.6139       -64.3260       
str_m3_o10_o16_pcu_s_ID_32    -69.5654       -67.1560       
str_m3_o10_o16_pcu_s_ID_33    -66.0617       -65.5790       
str_m3_o10_o16_pcu_s_ID_34    -63.1866       -63.0716       
str_m3_o10_o16_pcu_s_ID_35    -69.5645       -61.3311       
str_m3_o10_o16_pcu_s_ID_36    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_37    -64.7340       -64.6394       
