	Di	Df	Dif	Unitcell_volume:	Density:	ASA_A^2:	ASA_m^2/cm^3:	ASA_m^2/g:	NASA_A^2:	NASA_m^2/cm^3:	NASA_m^2/g:	AV_A^3:	AV_Volume_fraction:	AV_cm^3/g:	NAV_A^3:	NAV_Volume_fraction:	NAV_cm^3/g:
str_m1_o10_o16_pcu_sym.1.res	8.18724	6.48171	8.11342	31199.8	0.880278	7434.02	2382.72	2706.78	0	0	0	9695.01	0.31074	0.353002	0	0	0
str_m1_o10_o16_pcu_sym.10.res	6.07451	4.25857	6.04652	31188.8	0.99884	6629.82	2125.7	2128.17	0	0	0	4195.52	0.13452	0.134676	0	0	0
str_m1_o10_o16_pcu_sym.100.res	8.28145	6.37035	8.21215	31414.9	0.808705	8184.8	2605.39	3221.68	0	0	0	10515.8	0.33474	0.413921	0	0	0
str_m1_o10_o16_pcu_sym.101.res	7.08328	5.46057	7.08325	31466.6	1.00314	7802.71	2479.68	2471.91	0	0	0	7539.4	0.2396	0.238849	0	0	0
str_m1_o10_o16_pcu_sym.102.res	6.18728	4.33793	6.15716	31280.5	1.07025	7213.33	2306.01	2154.65	0	0	0	4314.84	0.13794	0.128886	0	0	0
str_m1_o10_o16_pcu_sym.103.res	7.34113	5.19444	7.34095	31232.6	0.851745	8704.03	2786.84	3271.92	0	0	0	7863.75	0.25178	0.295605	0	0	0
str_m1_o10_o16_pcu_sym.104.res	7.68027	5.70431	7.56228	31078.1	0.857875	8006.46	2576.24	3003.05	0	0	0	8435.21	0.27142	0.316387	0	0	0
str_m1_o10_o16_pcu_sym.105.res	8.49215	6.04915	8.49184	31386.6	0.999687	8141.33	2593.89	2594.7	0	0	0	9205.7	0.2933	0.293392	0	0	0
str_m1_o10_o16_pcu_sym.106.res	6.59666	5.49914	6.59663	31315.5	0.986034	7489.58	2391.65	2425.53	0	0	0	5473.94	0.1748	0.177276	0	0	0
str_m1_o10_o16_pcu_sym.107.res	6.33075	5.40713	6.28624	31181.1	1.34417	7753.46	2486.59	1849.91	0	0	0	6390.26	0.20494	0.152466	0	0	0
str_m1_o10_o16_pcu_sym.108.res	6.03767	3.54748	6.03743	31362.9	1.0011	5720.32	1823.91	1821.9	0	0	0	2937.45	0.09366	0.093557	0	0	0
str_m1_o10_o16_pcu_sym.109.res	5.04812	3.68357	5.04812	31343.9	1.07612	4370.87	1394.49	1295.85	0	0	0	1328.98	0.0424	0.039401	0	0	0
str_m1_o10_o16_pcu_sym.11.res	7.59123	5.90776	7.56571	31416.1	0.858111	8223.06	2617.47	3050.26	0	0	0	8457.85	0.26922	0.313735	0	0	0
str_m1_o10_o16_pcu_sym.110.res	8.12495	5.99826	8.12495	31353.4	0.77596	8553.28	2728.02	3515.67	0	0	0	9865.67	0.31466	0.40551	0	0	0
str_m1_o10_o16_pcu_sym.111.res	8.15748	6.67703	8.03873	31173.6	0.889491	7998.68	2565.85	2884.63	0	0	0	9999.25	0.32076	0.360611	0	0	0
str_m1_o10_o16_pcu_sym.112.res	6.88643	5.7327	6.88024	31124.3	0.933553	7742.9	2487.73	2664.8	0	0	0	7596.2	0.24406	0.261431	0	0	0
str_m1_o10_o16_pcu_sym.113.res	6.58573	5.20602	6.49112	31184.9	0.878045	8274.67	2653.42	3021.97	0	0	0	6594.36	0.21146	0.24083	0	0	0
str_m1_o10_o16_pcu_sym.114.res	7.0706	5.45833	7.00723	31279.6	0.902194	7389.79	2362.5	2618.61	0	0	0	6419.82	0.20524	0.22749	0	0	0
