MaterialsName                 9.99kPa        

str_m2_o10_o16_pcu_s_ID_1     -59.6799       
str_m2_o10_o16_pcu_s_ID_10    -297.3546      
str_m2_o10_o16_pcu_s_ID_100   -60.7473       
str_m2_o10_o16_pcu_s_ID_101   -59.9328       
str_m2_o10_o16_pcu_s_ID_102   -64.3686       
str_m2_o10_o16_pcu_s_ID_103   -88.3432       
str_m2_o10_o16_pcu_s_ID_104   0.0000         
str_m2_o10_o16_pcu_s_ID_105   -76.0464       
str_m2_o10_o16_pcu_s_ID_106   -60.8176       
str_m2_o10_o16_pcu_s_ID_107   -60.1189       
str_m2_o10_o16_pcu_s_ID_108   -27.1176       
str_m2_o10_o16_pcu_s_ID_109   -239.0433      
str_m2_o10_o16_pcu_s_ID_11    -90.8512       
str_m2_o10_o16_pcu_s_ID_110   -60.4215       
str_m2_o10_o16_pcu_s_ID_111   -63.1849       
str_m2_o10_o16_pcu_s_ID_112   -62.4061       
str_m2_o10_o16_pcu_s_ID_113   -59.0737       
str_m2_o10_o16_pcu_s_ID_114   0.0000         
str_m2_o10_o16_pcu_s_ID_115   -62.5794       
str_m2_o10_o16_pcu_s_ID_116   -57.3965       
str_m2_o10_o16_pcu_s_ID_117   -58.7705       
str_m2_o10_o16_pcu_s_ID_118   -64.5015       
str_m2_o10_o16_pcu_s_ID_119   -354.1643      
str_m2_o10_o16_pcu_s_ID_12    -59.5042       
str_m2_o10_o16_pcu_s_ID_120   -62.8616       
str_m2_o10_o16_pcu_s_ID_121   -57.8186       
str_m2_o10_o16_pcu_s_ID_122   -51.1961       
str_m2_o10_o16_pcu_s_ID_123   0.0000         
str_m2_o10_o16_pcu_s_ID_124   0.0000         
str_m2_o10_o16_pcu_s_ID_125   -59.1222       
str_m2_o10_o16_pcu_s_ID_126   -117.5648      
str_m2_o10_o16_pcu_s_ID_127   0.0000         
str_m2_o10_o16_pcu_s_ID_128   -58.6164       
str_m2_o10_o16_pcu_s_ID_129   -58.0183       
str_m2_o10_o16_pcu_s_ID_13    -71.3575       
str_m2_o10_o16_pcu_s_ID_130   0.0000         
str_m2_o10_o16_pcu_s_ID_131   -55.5863       
str_m2_o10_o16_pcu_s_ID_132   -62.8290       
str_m2_o10_o16_pcu_s_ID_133   -60.2119       
str_m2_o10_o16_pcu_s_ID_134   -77.7346       
str_m2_o10_o16_pcu_s_ID_135   -90.6021       
str_m2_o10_o16_pcu_s_ID_136   0.0000         
str_m2_o10_o16_pcu_s_ID_137   -18.4544       
str_m2_o10_o16_pcu_s_ID_138   -56.2421       
str_m2_o10_o16_pcu_s_ID_139   -57.8407       
str_m2_o10_o16_pcu_s_ID_14    -57.7404       
str_m2_o10_o16_pcu_s_ID_140   -58.7923       
str_m2_o10_o16_pcu_s_ID_141   -76.9084       
str_m2_o10_o16_pcu_s_ID_142   -64.0142       
str_m2_o10_o16_pcu_s_ID_143   -60.6211       
str_m2_o10_o16_pcu_s_ID_144   -93.3402       
str_m2_o10_o16_pcu_s_ID_145   -57.0966       
str_m2_o10_o16_pcu_s_ID_146   -60.5099       
str_m2_o10_o16_pcu_s_ID_147   -84.0235       
str_m2_o10_o16_pcu_s_ID_148   -62.0285       
str_m2_o10_o16_pcu_s_ID_149   -58.5541       
str_m2_o10_o16_pcu_s_ID_15    0.0000         
str_m2_o10_o16_pcu_s_ID_150   -58.2263       
str_m2_o10_o16_pcu_s_ID_151   -58.0066       
str_m2_o10_o16_pcu_s_ID_152   -21.2869       
str_m2_o10_o16_pcu_s_ID_153   -63.8012       
str_m2_o10_o16_pcu_s_ID_154   -56.8772       
str_m2_o10_o16_pcu_s_ID_155   -61.7172       
str_m2_o10_o16_pcu_s_ID_156   -62.5220       
str_m2_o10_o16_pcu_s_ID_157    NULL   
str_m2_o10_o16_pcu_s_ID_158   -69.2292       
str_m2_o10_o16_pcu_s_ID_159   -48.4321       
str_m2_o10_o16_pcu_s_ID_16    -62.9436       
str_m2_o10_o16_pcu_s_ID_160   -59.4439       
str_m2_o10_o16_pcu_s_ID_161   -67.2857       
str_m2_o10_o16_pcu_s_ID_162   -55.3852       
str_m2_o10_o16_pcu_s_ID_163   0.0000         
str_m2_o10_o16_pcu_s_ID_164   -61.0931       
str_m2_o10_o16_pcu_s_ID_165   -46.0249       
str_m2_o10_o16_pcu_s_ID_166   -7.0825        
str_m2_o10_o16_pcu_s_ID_167   -60.9892       
str_m2_o10_o16_pcu_s_ID_168   0.0000         
str_m2_o10_o16_pcu_s_ID_169   -55.3450       
str_m2_o10_o16_pcu_s_ID_17    -36.9108       
str_m2_o10_o16_pcu_s_ID_170   -57.8582       
str_m2_o10_o16_pcu_s_ID_171   0.0000         
str_m2_o10_o16_pcu_s_ID_172   -21.0297       
str_m2_o10_o16_pcu_s_ID_173   -65.4580       
str_m2_o10_o16_pcu_s_ID_174   -197.8996      
str_m2_o10_o16_pcu_s_ID_175   -73.6558       
str_m2_o10_o16_pcu_s_ID_176   -59.9720       
str_m2_o10_o16_pcu_s_ID_177   -63.1677       
str_m2_o10_o16_pcu_s_ID_178   0.0000         
str_m2_o10_o16_pcu_s_ID_179   -75.7163       
str_m2_o10_o16_pcu_s_ID_18    -65.7291       
str_m2_o10_o16_pcu_s_ID_180   -62.5272       
str_m2_o10_o16_pcu_s_ID_181   -180.0630      
str_m2_o10_o16_pcu_s_ID_182   -80.8626       
str_m2_o10_o16_pcu_s_ID_183   0.0000         
str_m2_o10_o16_pcu_s_ID_184   -58.1592       
str_m2_o10_o16_pcu_s_ID_185   -19.2821       
str_m2_o10_o16_pcu_s_ID_186   0.0000         
str_m2_o10_o16_pcu_s_ID_187   -56.4275       
str_m2_o10_o16_pcu_s_ID_188   -60.1819       
str_m2_o10_o16_pcu_s_ID_189   -59.2245       
str_m2_o10_o16_pcu_s_ID_19    -128.1854      
str_m2_o10_o16_pcu_s_ID_190   -94.1246       
str_m2_o10_o16_pcu_s_ID_191   -57.4690       
str_m2_o10_o16_pcu_s_ID_192   -60.3119       
str_m2_o10_o16_pcu_s_ID_193   -61.2592       
str_m2_o10_o16_pcu_s_ID_194   0.0000         
str_m2_o10_o16_pcu_s_ID_195   -49.7204       
str_m2_o10_o16_pcu_s_ID_196   0.0000         
str_m2_o10_o16_pcu_s_ID_2     -7890.5573     
str_m2_o10_o16_pcu_s_ID_20    -14809.7856    
str_m2_o10_o16_pcu_s_ID_21    0.0000         
str_m2_o10_o16_pcu_s_ID_22    0.0000         
str_m2_o10_o16_pcu_s_ID_23    -64.0471       
str_m2_o10_o16_pcu_s_ID_24    -56.5720       
str_m2_o10_o16_pcu_s_ID_25    -57.9614       
str_m2_o10_o16_pcu_s_ID_26    -58.1795       
str_m2_o10_o16_pcu_s_ID_27    -67.8547       
str_m2_o10_o16_pcu_s_ID_28    -53.6629       
str_m2_o10_o16_pcu_s_ID_29    -85.3821       
str_m2_o10_o16_pcu_s_ID_3     -65.4068       
str_m2_o10_o16_pcu_s_ID_30    -66.3820       
str_m2_o10_o16_pcu_s_ID_31    -66.8501       
str_m2_o10_o16_pcu_s_ID_32    -55.4528       
str_m2_o10_o16_pcu_s_ID_33    -61.2328       
str_m2_o10_o16_pcu_s_ID_34    -57.0455       
str_m2_o10_o16_pcu_s_ID_35    0.0000         
str_m2_o10_o16_pcu_s_ID_36    -63.1021       
str_m2_o10_o16_pcu_s_ID_37    -156.4963      
str_m2_o10_o16_pcu_s_ID_38    -60.3750       
str_m2_o10_o16_pcu_s_ID_39    -394.2321      
str_m2_o10_o16_pcu_s_ID_4     -64.2112       
str_m2_o10_o16_pcu_s_ID_40    -61.6865       
str_m2_o10_o16_pcu_s_ID_41    -51.4788       
str_m2_o10_o16_pcu_s_ID_42    0.0000         
str_m2_o10_o16_pcu_s_ID_43    0.0000         
str_m2_o10_o16_pcu_s_ID_44    -149.4534      
str_m2_o10_o16_pcu_s_ID_45    -57.6512       
str_m2_o10_o16_pcu_s_ID_46    -59.0731       
str_m2_o10_o16_pcu_s_ID_47    0.0000         
str_m2_o10_o16_pcu_s_ID_48    -48.2159       
str_m2_o10_o16_pcu_s_ID_49    -62.1087       
str_m2_o10_o16_pcu_s_ID_5     -199.8526      
str_m2_o10_o16_pcu_s_ID_50    -60.0708       
str_m2_o10_o16_pcu_s_ID_51    -79.7938       
str_m2_o10_o16_pcu_s_ID_52    -60.4666       
str_m2_o10_o16_pcu_s_ID_53    -64.2147       
str_m2_o10_o16_pcu_s_ID_54    -70.1257       
str_m2_o10_o16_pcu_s_ID_55    -61.7218       
str_m2_o10_o16_pcu_s_ID_56    -52.9185       
str_m2_o10_o16_pcu_s_ID_57    -58.8392       
str_m2_o10_o16_pcu_s_ID_58    -58.0754       
str_m2_o10_o16_pcu_s_ID_59    -94.4973       
str_m2_o10_o16_pcu_s_ID_6     -62.5160       
str_m2_o10_o16_pcu_s_ID_60    -76.8848       
str_m2_o10_o16_pcu_s_ID_61    -62.8373       
str_m2_o10_o16_pcu_s_ID_62    -58.8026       
str_m2_o10_o16_pcu_s_ID_63    -67.7027       
str_m2_o10_o16_pcu_s_ID_64    0.0000         
str_m2_o10_o16_pcu_s_ID_65    -8.1819        
str_m2_o10_o16_pcu_s_ID_66    -57.2300       
str_m2_o10_o16_pcu_s_ID_67    -57.7779       
str_m2_o10_o16_pcu_s_ID_68    -64.8234       
str_m2_o10_o16_pcu_s_ID_69    -86.4686       
str_m2_o10_o16_pcu_s_ID_7     0.0000         
str_m2_o10_o16_pcu_s_ID_70    0.0000         
str_m2_o10_o16_pcu_s_ID_71    -55.1262       
str_m2_o10_o16_pcu_s_ID_72    -66.9323       
str_m2_o10_o16_pcu_s_ID_73    -83.6493       
str_m2_o10_o16_pcu_s_ID_74    -141.4643      
str_m2_o10_o16_pcu_s_ID_75    -57.3386       
str_m2_o10_o16_pcu_s_ID_76    -78.7138       
str_m2_o10_o16_pcu_s_ID_77    0.0000         
str_m2_o10_o16_pcu_s_ID_78    -63.0136       
