MaterialsName                 9.99kPa        99.9kPa        

str_m3_o10_o16_pcu_s_ID_1     -1545.2518     -1654.3655     
str_m3_o10_o16_pcu_s_ID_10    -94.8625       -94.3572       
str_m3_o10_o16_pcu_s_ID_100   -68.7985       -68.8042       
str_m3_o10_o16_pcu_s_ID_101   -62.5839       -62.4319       
str_m3_o10_o16_pcu_s_ID_102   -123.8838      -649.9084      
str_m3_o10_o16_pcu_s_ID_103   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_104   -2.7619        -9.0815        
str_m3_o10_o16_pcu_s_ID_105   -56.8577       -57.6360       
str_m3_o10_o16_pcu_s_ID_106   -66.9806       -66.6837       
str_m3_o10_o16_pcu_s_ID_107   -63.8531       -60.8659       
str_m3_o10_o16_pcu_s_ID_108   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_109   -91.1667       -90.9965       
str_m3_o10_o16_pcu_s_ID_11    -46.9374       -53.4374       
str_m3_o10_o16_pcu_s_ID_110   -61.5845       -62.4030       
str_m3_o10_o16_pcu_s_ID_111   -67.4499       -67.4635       
str_m3_o10_o16_pcu_s_ID_112   -77.0263       -71.2157       
str_m3_o10_o16_pcu_s_ID_113   -67.9565       -67.8427       
str_m3_o10_o16_pcu_s_ID_114   -11.6533       -34.0585       
str_m3_o10_o16_pcu_s_ID_115   -446.1686      -446.1686      
str_m3_o10_o16_pcu_s_ID_116   -114.5843      -240.3918      
str_m3_o10_o16_pcu_s_ID_117   -2181.7274     -2231.9794     
str_m3_o10_o16_pcu_s_ID_118   -55.6229       -55.8408       
str_m3_o10_o16_pcu_s_ID_119   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_12    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_120   -51360.7485     NULL   
str_m3_o10_o16_pcu_s_ID_121   -60.9951       -61.8042       
str_m3_o10_o16_pcu_s_ID_122   -64.4159       -54.8078       
str_m3_o10_o16_pcu_s_ID_123   -3.0733        -11.5995       
str_m3_o10_o16_pcu_s_ID_124   -71.9404       -71.8837       
str_m3_o10_o16_pcu_s_ID_125   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_126   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_127   -137.6347      -136.7544      
str_m3_o10_o16_pcu_s_ID_128   -73.1205       -73.3088       
str_m3_o10_o16_pcu_s_ID_129   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_13    -62.4722       -62.5540       
str_m3_o10_o16_pcu_s_ID_130   -1763.6725     -1666.3291     
str_m3_o10_o16_pcu_s_ID_131   -8.4753        -30.3279       
str_m3_o10_o16_pcu_s_ID_132   -57.5291       -57.7617       
str_m3_o10_o16_pcu_s_ID_133   -58.7696       -56.4099       
str_m3_o10_o16_pcu_s_ID_134   -13.7387       -34.5688       
str_m3_o10_o16_pcu_s_ID_135   -55.6794       -55.5299       
str_m3_o10_o16_pcu_s_ID_136   -67.4823       -57.3725       
str_m3_o10_o16_pcu_s_ID_137   -20.5487       -39.6149       
str_m3_o10_o16_pcu_s_ID_138   -68.6691       -68.7083       
str_m3_o10_o16_pcu_s_ID_139   -108.2189      -102.2315      
str_m3_o10_o16_pcu_s_ID_14    -11742.5031     NULL   
str_m3_o10_o16_pcu_s_ID_140   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_141   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_142   -0.3728        -1.8289        
str_m3_o10_o16_pcu_s_ID_143   -63.5518       -63.3941       
str_m3_o10_o16_pcu_s_ID_144   -63.0510       -63.3580       
str_m3_o10_o16_pcu_s_ID_145   -65.3100       -65.3417       
str_m3_o10_o16_pcu_s_ID_146   -11610.3724    -11489.4400    
str_m3_o10_o16_pcu_s_ID_147   -63.2147       -63.3119       
str_m3_o10_o16_pcu_s_ID_148   -154.2280      -115.9697      
str_m3_o10_o16_pcu_s_ID_149   -75.5774       -75.2800       
str_m3_o10_o16_pcu_s_ID_15    -62.9011       -63.2518       
str_m3_o10_o16_pcu_s_ID_150   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_151   -1970.4039     -2191.4022     
str_m3_o10_o16_pcu_s_ID_152   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_153   -48.9330       -50.8489       
str_m3_o10_o16_pcu_s_ID_154   -1817.2964     -1146.7403     
str_m3_o10_o16_pcu_s_ID_155   -114.8326      -113.4670      
str_m3_o10_o16_pcu_s_ID_156   -138.6256      -353.1884      
str_m3_o10_o16_pcu_s_ID_157   -174.6237      -169.1293      
str_m3_o10_o16_pcu_s_ID_158   -83.7756       -69.1832       
str_m3_o10_o16_pcu_s_ID_159   -101.5283      -97.1571       
str_m3_o10_o16_pcu_s_ID_16    -62.9897       -62.9994       
str_m3_o10_o16_pcu_s_ID_160   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_161   -63.0108       -63.2255       
str_m3_o10_o16_pcu_s_ID_162   -70.6823       -70.7123       
str_m3_o10_o16_pcu_s_ID_163   -58.4790       -58.6425       
str_m3_o10_o16_pcu_s_ID_17    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_18    -63.0787       -63.1678       
str_m3_o10_o16_pcu_s_ID_19    -61.9983       -62.0155       
str_m3_o10_o16_pcu_s_ID_2     -4515.4077     -4167.2826     
