MaterialsName                9.99kPa        

str_m1_o10_o16_pcu_s_ID_1     101.3519       
str_m1_o10_o16_pcu_s_ID_10    89.9001        
str_m1_o10_o16_pcu_s_ID_100   114.5414       
str_m1_o10_o16_pcu_s_ID_101   35.3937        
str_m1_o10_o16_pcu_s_ID_102   90.6229        
str_m1_o10_o16_pcu_s_ID_103   93.1551        
str_m1_o10_o16_pcu_s_ID_104   48.1893        
str_m1_o10_o16_pcu_s_ID_105   72.1481        
str_m1_o10_o16_pcu_s_ID_106   59.5606        
str_m1_o10_o16_pcu_s_ID_107   108.8667       
str_m1_o10_o16_pcu_s_ID_108   103.4181       
str_m1_o10_o16_pcu_s_ID_109   91.2330        
str_m1_o10_o16_pcu_s_ID_11    47.2363        
str_m1_o10_o16_pcu_s_ID_110   95.5614        
str_m1_o10_o16_pcu_s_ID_111   81.0000        
str_m1_o10_o16_pcu_s_ID_112   90.5535        
str_m1_o10_o16_pcu_s_ID_113   97.9747        
str_m1_o10_o16_pcu_s_ID_114   97.9988        
str_m1_o10_o16_pcu_s_ID_115   84.7526        
str_m1_o10_o16_pcu_s_ID_116   103.7129       
str_m1_o10_o16_pcu_s_ID_117   109.1949       
str_m1_o10_o16_pcu_s_ID_118   89.6707        
str_m1_o10_o16_pcu_s_ID_119   87.8256        
str_m1_o10_o16_pcu_s_ID_12    15.4029        
str_m1_o10_o16_pcu_s_ID_120   85.4651        
str_m1_o10_o16_pcu_s_ID_121   111.6704       
str_m1_o10_o16_pcu_s_ID_122   110.3368       
str_m1_o10_o16_pcu_s_ID_123   88.0000        
str_m1_o10_o16_pcu_s_ID_124   104.0787       
str_m1_o10_o16_pcu_s_ID_125   82.6274        
str_m1_o10_o16_pcu_s_ID_126   95.0988        
str_m1_o10_o16_pcu_s_ID_127   105.7818       
str_m1_o10_o16_pcu_s_ID_128   97.2125        
str_m1_o10_o16_pcu_s_ID_129   90.9894        
str_m1_o10_o16_pcu_s_ID_13    86.4247        
str_m1_o10_o16_pcu_s_ID_130   101.0149       
str_m1_o10_o16_pcu_s_ID_131   117.5748       
str_m1_o10_o16_pcu_s_ID_132   104.9309       
str_m1_o10_o16_pcu_s_ID_133   112.1197       
str_m1_o10_o16_pcu_s_ID_134   109.0419       
str_m1_o10_o16_pcu_s_ID_135   77.7182        
str_m1_o10_o16_pcu_s_ID_136   95.8958        
str_m1_o10_o16_pcu_s_ID_137   111.5486       
str_m1_o10_o16_pcu_s_ID_138   78.4006        
str_m1_o10_o16_pcu_s_ID_139   104.8702       
str_m1_o10_o16_pcu_s_ID_14    101.8022       
str_m1_o10_o16_pcu_s_ID_140   73.6322        
str_m1_o10_o16_pcu_s_ID_141   55.8006        
str_m1_o10_o16_pcu_s_ID_142   115.3299       
str_m1_o10_o16_pcu_s_ID_143   101.7843       
str_m1_o10_o16_pcu_s_ID_144   92.8850        
str_m1_o10_o16_pcu_s_ID_145   94.3163        
str_m1_o10_o16_pcu_s_ID_146   104.6444       
str_m1_o10_o16_pcu_s_ID_147   109.7744       
str_m1_o10_o16_pcu_s_ID_148   106.2008       
str_m1_o10_o16_pcu_s_ID_149   98.2883        
str_m1_o10_o16_pcu_s_ID_15    101.1108       
str_m1_o10_o16_pcu_s_ID_150   81.8357        
str_m1_o10_o16_pcu_s_ID_151   91.0828        
str_m1_o10_o16_pcu_s_ID_152   107.5802       
str_m1_o10_o16_pcu_s_ID_153   71.7779        
str_m1_o10_o16_pcu_s_ID_154   71.2194        
str_m1_o10_o16_pcu_s_ID_155   102.2800       
str_m1_o10_o16_pcu_s_ID_156   107.4923       
str_m1_o10_o16_pcu_s_ID_157   74.7772        
str_m1_o10_o16_pcu_s_ID_158   62.7289        
str_m1_o10_o16_pcu_s_ID_159   94.1306        
str_m1_o10_o16_pcu_s_ID_16    84.6391        
str_m1_o10_o16_pcu_s_ID_160   107.5236       
str_m1_o10_o16_pcu_s_ID_161   98.3636        
str_m1_o10_o16_pcu_s_ID_162   80.8361        
str_m1_o10_o16_pcu_s_ID_163   98.3837        
str_m1_o10_o16_pcu_s_ID_164   74.6580        
str_m1_o10_o16_pcu_s_ID_165   103.0376       
str_m1_o10_o16_pcu_s_ID_166   68.1101        
str_m1_o10_o16_pcu_s_ID_167   79.7767        
str_m1_o10_o16_pcu_s_ID_168   103.9188       
str_m1_o10_o16_pcu_s_ID_169   110.4164       
str_m1_o10_o16_pcu_s_ID_17    84.7838        
str_m1_o10_o16_pcu_s_ID_170   102.8897       
str_m1_o10_o16_pcu_s_ID_171   88.5491        
str_m1_o10_o16_pcu_s_ID_172   114.4678       
str_m1_o10_o16_pcu_s_ID_173   118.6359       
str_m1_o10_o16_pcu_s_ID_174   92.6956        
str_m1_o10_o16_pcu_s_ID_175   106.9739       
str_m1_o10_o16_pcu_s_ID_176   112.7552       
str_m1_o10_o16_pcu_s_ID_177   25.0002        
str_m1_o10_o16_pcu_s_ID_178   94.8922        
str_m1_o10_o16_pcu_s_ID_179   53.9944        
str_m1_o10_o16_pcu_s_ID_18    80.2420        
str_m1_o10_o16_pcu_s_ID_180   103.0303       
str_m1_o10_o16_pcu_s_ID_181   99.9748        
str_m1_o10_o16_pcu_s_ID_182   33.7314        
str_m1_o10_o16_pcu_s_ID_183   66.3105        
str_m1_o10_o16_pcu_s_ID_184   91.1752        
str_m1_o10_o16_pcu_s_ID_185   86.4903        
str_m1_o10_o16_pcu_s_ID_186   108.0766       
str_m1_o10_o16_pcu_s_ID_187   113.4022       
str_m1_o10_o16_pcu_s_ID_188   91.5004        
str_m1_o10_o16_pcu_s_ID_189   95.3887        
str_m1_o10_o16_pcu_s_ID_19    105.8152       
str_m1_o10_o16_pcu_s_ID_190   108.1208       
str_m1_o10_o16_pcu_s_ID_191   115.1590       
str_m1_o10_o16_pcu_s_ID_192   90.4729        
str_m1_o10_o16_pcu_s_ID_193   82.5796        
str_m1_o10_o16_pcu_s_ID_194   71.8509        
str_m1_o10_o16_pcu_s_ID_195   94.9758        
str_m1_o10_o16_pcu_s_ID_196   54.0000        
str_m1_o10_o16_pcu_s_ID_197   115.1638       
str_m1_o10_o16_pcu_s_ID_198   35.9826        
str_m1_o10_o16_pcu_s_ID_199   70.5480        
str_m1_o10_o16_pcu_s_ID_2     53.2146        
str_m1_o10_o16_pcu_s_ID_20    115.0862       
str_m1_o10_o16_pcu_s_ID_200   108.7897       
str_m1_o10_o16_pcu_s_ID_201   109.5543       
str_m1_o10_o16_pcu_s_ID_202   63.5929        
str_m1_o10_o16_pcu_s_ID_203   52.3035        
str_m1_o10_o16_pcu_s_ID_204   50.3072        
str_m1_o10_o16_pcu_s_ID_205   88.4183        
str_m1_o10_o16_pcu_s_ID_206   82.9977        
str_m1_o10_o16_pcu_s_ID_207   63.0231        
str_m1_o10_o16_pcu_s_ID_208   85.8937        
str_m1_o10_o16_pcu_s_ID_209   90.9271        
str_m1_o10_o16_pcu_s_ID_21    115.7757       
str_m1_o10_o16_pcu_s_ID_210   119.4485       
str_m1_o10_o16_pcu_s_ID_211   120.4546       
str_m1_o10_o16_pcu_s_ID_212   51.7229        
str_m1_o10_o16_pcu_s_ID_213   71.9501        
str_m1_o10_o16_pcu_s_ID_214   96.4991        
str_m1_o10_o16_pcu_s_ID_215   82.7801        
str_m1_o10_o16_pcu_s_ID_216   94.4376        
str_m1_o10_o16_pcu_s_ID_217   90.9464        
str_m1_o10_o16_pcu_s_ID_218   47.0242        
str_m1_o10_o16_pcu_s_ID_219   104.9164       
str_m1_o10_o16_pcu_s_ID_22    73.8086        
str_m1_o10_o16_pcu_s_ID_220   75.7757        
str_m1_o10_o16_pcu_s_ID_221   89.6663        
str_m1_o10_o16_pcu_s_ID_222   92.2117        
str_m1_o10_o16_pcu_s_ID_223   92.7253        
str_m1_o10_o16_pcu_s_ID_224   84.5413        
str_m1_o10_o16_pcu_s_ID_225   105.1694       
str_m1_o10_o16_pcu_s_ID_226   31.5836        
str_m1_o10_o16_pcu_s_ID_227   93.5480        
str_m1_o10_o16_pcu_s_ID_228   99.8105        
str_m1_o10_o16_pcu_s_ID_229   95.6389        
str_m1_o10_o16_pcu_s_ID_23    98.0669        
str_m1_o10_o16_pcu_s_ID_230   96.8451        
str_m1_o10_o16_pcu_s_ID_231   103.4270       
str_m1_o10_o16_pcu_s_ID_232   80.9164        
str_m1_o10_o16_pcu_s_ID_233   95.4088        
str_m1_o10_o16_pcu_s_ID_234   116.7711       
str_m1_o10_o16_pcu_s_ID_235   95.7773        
str_m1_o10_o16_pcu_s_ID_236   88.6814        
str_m1_o10_o16_pcu_s_ID_237   90.2461        
str_m1_o10_o16_pcu_s_ID_238   99.3277        
str_m1_o10_o16_pcu_s_ID_239   92.9689        
str_m1_o10_o16_pcu_s_ID_24    71.9114        
str_m1_o10_o16_pcu_s_ID_240   50.8078        
str_m1_o10_o16_pcu_s_ID_241   68.9141        
str_m1_o10_o16_pcu_s_ID_242   108.2613       
str_m1_o10_o16_pcu_s_ID_243   102.6717       
str_m1_o10_o16_pcu_s_ID_244   99.6787        
str_m1_o10_o16_pcu_s_ID_245   107.0578       
str_m1_o10_o16_pcu_s_ID_246   96.9909        
str_m1_o10_o16_pcu_s_ID_247    NULL   
str_m1_o10_o16_pcu_s_ID_248   101.2546       
str_m1_o10_o16_pcu_s_ID_249   105.8098       
str_m1_o10_o16_pcu_s_ID_25    85.5335        
str_m1_o10_o16_pcu_s_ID_250   97.6916        
str_m1_o10_o16_pcu_s_ID_251   87.2627        
str_m1_o10_o16_pcu_s_ID_252   79.9889        
str_m1_o10_o16_pcu_s_ID_253   79.6570        
str_m1_o10_o16_pcu_s_ID_254   125.0962       
str_m1_o10_o16_pcu_s_ID_255   100.9795       
str_m1_o10_o16_pcu_s_ID_256   104.9002       
str_m1_o10_o16_pcu_s_ID_257   109.5027       
str_m1_o10_o16_pcu_s_ID_258   88.1961        
str_m1_o10_o16_pcu_s_ID_259   83.1913        
str_m1_o10_o16_pcu_s_ID_26    81.4608        
str_m1_o10_o16_pcu_s_ID_260   82.7166        
str_m1_o10_o16_pcu_s_ID_261   112.3804       
str_m1_o10_o16_pcu_s_ID_262   103.7466       
str_m1_o10_o16_pcu_s_ID_263   103.8865       
str_m1_o10_o16_pcu_s_ID_264   103.4504       
str_m1_o10_o16_pcu_s_ID_27    81.1154        
str_m1_o10_o16_pcu_s_ID_28    108.9971       
str_m1_o10_o16_pcu_s_ID_29    76.6416        
str_m1_o10_o16_pcu_s_ID_3     105.6527       
str_m1_o10_o16_pcu_s_ID_30    76.4162        
str_m1_o10_o16_pcu_s_ID_31    110.1414       
str_m1_o10_o16_pcu_s_ID_32    107.8109       
str_m1_o10_o16_pcu_s_ID_33    86.0395        
str_m1_o10_o16_pcu_s_ID_34    48.9495        
str_m1_o10_o16_pcu_s_ID_35    96.6377        
str_m1_o10_o16_pcu_s_ID_36    87.0835        
str_m1_o10_o16_pcu_s_ID_37    91.3323        
str_m1_o10_o16_pcu_s_ID_38    106.7207       
str_m1_o10_o16_pcu_s_ID_39    79.5651        
str_m1_o10_o16_pcu_s_ID_4     89.7264        
str_m1_o10_o16_pcu_s_ID_40    105.4920       
str_m1_o10_o16_pcu_s_ID_41    75.9029        
str_m1_o10_o16_pcu_s_ID_42    91.4450        
str_m1_o10_o16_pcu_s_ID_43    83.2978        
str_m1_o10_o16_pcu_s_ID_44    110.8779       
str_m1_o10_o16_pcu_s_ID_45    106.1534       
