MaterialsName                9.99kPa        99.9kPa        

str_m2_o10_o16_pcu_s_ID_1     17.9715        17.9923        
str_m2_o10_o16_pcu_s_ID_10    10.9491        15.4011        
str_m2_o10_o16_pcu_s_ID_100   21.8224        22.2025        
str_m2_o10_o16_pcu_s_ID_101   17.7729        17.9135        
str_m2_o10_o16_pcu_s_ID_102   17.9084        18.0000        
str_m2_o10_o16_pcu_s_ID_103   2.0000         2.0000         
str_m2_o10_o16_pcu_s_ID_104   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_105   6.0175         6.0526         
str_m2_o10_o16_pcu_s_ID_106   15.4013        17.7369        
str_m2_o10_o16_pcu_s_ID_107   17.8060        17.9818        
str_m2_o10_o16_pcu_s_ID_108   0.0001         0.0005         
str_m2_o10_o16_pcu_s_ID_109   21.9776        22.1715        
str_m2_o10_o16_pcu_s_ID_11    17.9411        17.9630        
str_m2_o10_o16_pcu_s_ID_110   17.9480        17.9868        
str_m2_o10_o16_pcu_s_ID_111   23.7005        33.6628        
str_m2_o10_o16_pcu_s_ID_112   17.8616        18.0000        
str_m2_o10_o16_pcu_s_ID_113   17.8975        17.9556        
str_m2_o10_o16_pcu_s_ID_114   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_115   20.0280        25.3707        
str_m2_o10_o16_pcu_s_ID_116   17.8497        18.1668        
str_m2_o10_o16_pcu_s_ID_117   17.8995        18.0000        
str_m2_o10_o16_pcu_s_ID_118   17.5760        17.9870        
str_m2_o10_o16_pcu_s_ID_119   22.2124        23.0000        
str_m2_o10_o16_pcu_s_ID_12    18.7910        20.6636        
str_m2_o10_o16_pcu_s_ID_120   2.5615         4.0895         
str_m2_o10_o16_pcu_s_ID_121   18.2854        21.7521        
str_m2_o10_o16_pcu_s_ID_122   5.9890         14.0474        
str_m2_o10_o16_pcu_s_ID_123   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_124   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_125   19.3758        25.6826        
str_m2_o10_o16_pcu_s_ID_126   14.6180        17.2670        
str_m2_o10_o16_pcu_s_ID_127   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_128   18.0058        19.7791        
str_m2_o10_o16_pcu_s_ID_129   17.9949        19.5102        
str_m2_o10_o16_pcu_s_ID_13    29.5358        33.0758        
str_m2_o10_o16_pcu_s_ID_130   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_131   18.1857        22.3919        
str_m2_o10_o16_pcu_s_ID_132   17.9860        17.9981        
str_m2_o10_o16_pcu_s_ID_133   17.2183        20.0056        
str_m2_o10_o16_pcu_s_ID_134   17.8510        17.9708        
str_m2_o10_o16_pcu_s_ID_135   4.0013         4.0035         
str_m2_o10_o16_pcu_s_ID_136   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_137   0.0265         0.1934         
str_m2_o10_o16_pcu_s_ID_138   17.8912        17.9808        
str_m2_o10_o16_pcu_s_ID_139   17.8211        17.9794        
str_m2_o10_o16_pcu_s_ID_14    17.5131        18.0240        
str_m2_o10_o16_pcu_s_ID_140   16.4033        17.9619        
str_m2_o10_o16_pcu_s_ID_141   17.4311        18.5623        
str_m2_o10_o16_pcu_s_ID_142   17.8772        18.0000        
str_m2_o10_o16_pcu_s_ID_143   18.8043        21.9373        
str_m2_o10_o16_pcu_s_ID_144   8.1454         11.7024        
str_m2_o10_o16_pcu_s_ID_145   18.2264        20.8865        
str_m2_o10_o16_pcu_s_ID_146   17.7050        18.0000        
str_m2_o10_o16_pcu_s_ID_147   17.9971        18.0000        
str_m2_o10_o16_pcu_s_ID_148   17.9874        17.9955        
str_m2_o10_o16_pcu_s_ID_149   17.0456        17.9449        
str_m2_o10_o16_pcu_s_ID_15    0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_150   19.5639        23.3388        
str_m2_o10_o16_pcu_s_ID_151   17.8569        18.5981        
str_m2_o10_o16_pcu_s_ID_152   0.0129         0.3140         
str_m2_o10_o16_pcu_s_ID_153   17.8229        18.0000        
str_m2_o10_o16_pcu_s_ID_154   17.8112        17.9980        
str_m2_o10_o16_pcu_s_ID_155   17.5854        17.9987        
str_m2_o10_o16_pcu_s_ID_156   14.0542        17.1799        
str_m2_o10_o16_pcu_s_ID_157   17.9079        19.7758        
str_m2_o10_o16_pcu_s_ID_158   20.7678        24.5374        
str_m2_o10_o16_pcu_s_ID_159   4.7826         12.9149        
str_m2_o10_o16_pcu_s_ID_16    17.8426        18.0000        
str_m2_o10_o16_pcu_s_ID_160   17.5717        18.0000        
str_m2_o10_o16_pcu_s_ID_161   11.6227        15.3869        
str_m2_o10_o16_pcu_s_ID_162   14.9521        17.6661        
str_m2_o10_o16_pcu_s_ID_163   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_164   20.0012        29.1481        
