MaterialsName                 0.01kPa        0.1kPa         

str_m1_o10_o16_pcu_s_ID_1     -4.5060        -15.7973       
str_m1_o10_o16_pcu_s_ID_10    -15.6431       -37.1898       
str_m1_o10_o16_pcu_s_ID_100   -1.4947        -7.3317        
str_m1_o10_o16_pcu_s_ID_101   -39.7977       -49.6909       
str_m1_o10_o16_pcu_s_ID_102   -8.3734        -24.8867       
str_m1_o10_o16_pcu_s_ID_103   -6.0270        -20.4272       
str_m1_o10_o16_pcu_s_ID_104   -4.3883        -31.0029       
str_m1_o10_o16_pcu_s_ID_105   -7.9066        -26.5131       
str_m1_o10_o16_pcu_s_ID_106   -16.6062       -37.6731       
str_m1_o10_o16_pcu_s_ID_107   -2.7583        -10.7307       
str_m1_o10_o16_pcu_s_ID_108   -2.6023        -12.6650       
str_m1_o10_o16_pcu_s_ID_109   -5.1995        -18.0849       
str_m1_o10_o16_pcu_s_ID_11    -24.3656       -44.3498       
str_m1_o10_o16_pcu_s_ID_110   -4.9759        -18.6917       
str_m1_o10_o16_pcu_s_ID_111   -22.1536       -42.3795       
str_m1_o10_o16_pcu_s_ID_112   -6.9417        -21.6639       
str_m1_o10_o16_pcu_s_ID_113   -3.5226        -19.3317       
str_m1_o10_o16_pcu_s_ID_114   -2.3487        -11.8076       
str_m1_o10_o16_pcu_s_ID_115   -7.1793        -26.4545       
str_m1_o10_o16_pcu_s_ID_116   -0.7398        -11.2605       
str_m1_o10_o16_pcu_s_ID_117   -1.0537        -9.3332        
str_m1_o10_o16_pcu_s_ID_118   -4.5462        -19.2910       
str_m1_o10_o16_pcu_s_ID_119   -6.3780        -29.5923       
str_m1_o10_o16_pcu_s_ID_12    -1.1447        -3.4181        
str_m1_o10_o16_pcu_s_ID_120   -7.9550        -23.2236       
str_m1_o10_o16_pcu_s_ID_121   -3.6982        -9.1686        
str_m1_o10_o16_pcu_s_ID_122   -1.9571        -7.5855        
str_m1_o10_o16_pcu_s_ID_123   -9.3151        -29.7962       
str_m1_o10_o16_pcu_s_ID_124   -1.8531        -9.3365        
str_m1_o10_o16_pcu_s_ID_125   -4.8583        -17.1821       
str_m1_o10_o16_pcu_s_ID_126   -2.2816        -15.8895       
str_m1_o10_o16_pcu_s_ID_127   -3.7248        -11.4552       
str_m1_o10_o16_pcu_s_ID_128   -3.2508        -12.0281       
str_m1_o10_o16_pcu_s_ID_129   -7.2122        -20.8615       
str_m1_o10_o16_pcu_s_ID_13    -2.3698        -13.2420       
str_m1_o10_o16_pcu_s_ID_130   -2.6327        -12.8573       
str_m1_o10_o16_pcu_s_ID_131   -1.7854        -7.4419        
str_m1_o10_o16_pcu_s_ID_132   -2.7759        -11.2240       
str_m1_o10_o16_pcu_s_ID_133   -1.6580        -9.6626        
str_m1_o10_o16_pcu_s_ID_134   -2.4042        -11.5073       
str_m1_o10_o16_pcu_s_ID_135   -3.0828        -17.9947       
str_m1_o10_o16_pcu_s_ID_136   -1.3366        -12.2123       
str_m1_o10_o16_pcu_s_ID_137   -1.7300        -9.3086        
str_m1_o10_o16_pcu_s_ID_138   -11.1852       -33.1477       
str_m1_o10_o16_pcu_s_ID_139   -3.9794        -12.2551       
str_m1_o10_o16_pcu_s_ID_14    -0.9170        -13.9354       
str_m1_o10_o16_pcu_s_ID_140   -7.4557        -25.6183       
str_m1_o10_o16_pcu_s_ID_141   -5.9478        -29.2021       
str_m1_o10_o16_pcu_s_ID_142   -1.9861        -8.7993        
str_m1_o10_o16_pcu_s_ID_143   -4.1596        -13.9430       
str_m1_o10_o16_pcu_s_ID_144   -3.9893        -15.8373       
str_m1_o10_o16_pcu_s_ID_145   -6.3944        -25.4196       
str_m1_o10_o16_pcu_s_ID_146   -3.8043        -11.5603       
str_m1_o10_o16_pcu_s_ID_147   -1.3086        -9.8124        
str_m1_o10_o16_pcu_s_ID_148   -1.7485        -12.0483       
str_m1_o10_o16_pcu_s_ID_149   -3.6087        -12.4978       
str_m1_o10_o16_pcu_s_ID_15    -1.4480        -11.8342       
str_m1_o10_o16_pcu_s_ID_150   -19.2170       -37.9905       
str_m1_o10_o16_pcu_s_ID_151   -2.5127        -18.1730       
str_m1_o10_o16_pcu_s_ID_152   -1.1868        -10.5442       
str_m1_o10_o16_pcu_s_ID_153   -13.9762       -37.0100       
str_m1_o10_o16_pcu_s_ID_154   -8.4857        -25.5643       
str_m1_o10_o16_pcu_s_ID_155   -5.4703        -20.9727       
str_m1_o10_o16_pcu_s_ID_156   -0.3704        -7.4316        
str_m1_o10_o16_pcu_s_ID_157   -12.3936       -34.7062       
str_m1_o10_o16_pcu_s_ID_158   -4.7874        -21.2226       
str_m1_o10_o16_pcu_s_ID_159   -3.5150        -21.0104       
str_m1_o10_o16_pcu_s_ID_16    -6.1241        -24.8350       
str_m1_o10_o16_pcu_s_ID_160   -3.5473        -9.3667        
str_m1_o10_o16_pcu_s_ID_161   -6.3973        -18.8837       
str_m1_o10_o16_pcu_s_ID_162   -3.9577        -21.0917       
