MaterialsName                 0.01kPa        

str_m3_o10_o16_pcu_s_ID_1     -53.6228       
str_m3_o10_o16_pcu_s_ID_10    -63.2447       
str_m3_o10_o16_pcu_s_ID_100   -66.2630       
str_m3_o10_o16_pcu_s_ID_101   -60.1354       
str_m3_o10_o16_pcu_s_ID_102   -53.8607       
str_m3_o10_o16_pcu_s_ID_103   0.0000         
str_m3_o10_o16_pcu_s_ID_104   0.0000         
str_m3_o10_o16_pcu_s_ID_105   -57.7252       
str_m3_o10_o16_pcu_s_ID_106   -68.7991       
str_m3_o10_o16_pcu_s_ID_107   -55.2319       
str_m3_o10_o16_pcu_s_ID_108   0.0000         
str_m3_o10_o16_pcu_s_ID_109   -62.5913       
str_m3_o10_o16_pcu_s_ID_11    -45.9823       
str_m3_o10_o16_pcu_s_ID_110   -61.2087       
str_m3_o10_o16_pcu_s_ID_111   -64.5920       
str_m3_o10_o16_pcu_s_ID_112   -64.8207       
str_m3_o10_o16_pcu_s_ID_113   -19.6936       
str_m3_o10_o16_pcu_s_ID_114   -9.3583        
str_m3_o10_o16_pcu_s_ID_115   0.0000         
str_m3_o10_o16_pcu_s_ID_116   -56.3662       
str_m3_o10_o16_pcu_s_ID_117   -54.1176       
str_m3_o10_o16_pcu_s_ID_118   -59.8459       
str_m3_o10_o16_pcu_s_ID_119   0.0000         
str_m3_o10_o16_pcu_s_ID_12    0.0000         
str_m3_o10_o16_pcu_s_ID_120   -98.8972       
str_m3_o10_o16_pcu_s_ID_121   -58.5716       
str_m3_o10_o16_pcu_s_ID_122   -15.6490       
str_m3_o10_o16_pcu_s_ID_123   -2.2858        
str_m3_o10_o16_pcu_s_ID_124   -61.0641       
str_m3_o10_o16_pcu_s_ID_125   0.0000         
str_m3_o10_o16_pcu_s_ID_126   0.0000         
str_m3_o10_o16_pcu_s_ID_127   0.0000         
str_m3_o10_o16_pcu_s_ID_128   -62.9541       
str_m3_o10_o16_pcu_s_ID_129   0.0000         
str_m3_o10_o16_pcu_s_ID_13    -60.7480       
str_m3_o10_o16_pcu_s_ID_130   -53.9293       
str_m3_o10_o16_pcu_s_ID_131   -17.4860       
