MaterialsName                0.01kPa        

str_m1_o10_o16_pcu_s_ID_1     1.1254         
str_m1_o10_o16_pcu_s_ID_10    20.1348        
str_m1_o10_o16_pcu_s_ID_100   0.3046         
str_m1_o10_o16_pcu_s_ID_101   22.9640        
str_m1_o10_o16_pcu_s_ID_102   4.1008         
str_m1_o10_o16_pcu_s_ID_103   2.5649         
str_m1_o10_o16_pcu_s_ID_104   6.1406         
str_m1_o10_o16_pcu_s_ID_105   4.8154         
str_m1_o10_o16_pcu_s_ID_106   13.2171        
str_m1_o10_o16_pcu_s_ID_107   0.5489         
str_m1_o10_o16_pcu_s_ID_108   0.7290         
str_m1_o10_o16_pcu_s_ID_109   1.6656         
str_m1_o10_o16_pcu_s_ID_11    16.6643        
str_m1_o10_o16_pcu_s_ID_110   1.6360         
str_m1_o10_o16_pcu_s_ID_111   33.3274        
str_m1_o10_o16_pcu_s_ID_112   2.8730         
str_m1_o10_o16_pcu_s_ID_113   1.8416         
str_m1_o10_o16_pcu_s_ID_114   0.6369         
str_m1_o10_o16_pcu_s_ID_115   4.5519         
str_m1_o10_o16_pcu_s_ID_116   0.5536         
str_m1_o10_o16_pcu_s_ID_117   0.5334         
str_m1_o10_o16_pcu_s_ID_118   1.8637         
str_m1_o10_o16_pcu_s_ID_119   5.9802         
str_m1_o10_o16_pcu_s_ID_12    0.4012         
str_m1_o10_o16_pcu_s_ID_120   3.1570         
str_m1_o10_o16_pcu_s_ID_121   0.3435         
str_m1_o10_o16_pcu_s_ID_122   0.2905         
str_m1_o10_o16_pcu_s_ID_123   6.1015         
str_m1_o10_o16_pcu_s_ID_124   0.4747         
str_m1_o10_o16_pcu_s_ID_125   1.2757         
str_m1_o10_o16_pcu_s_ID_126   1.1280         
str_m1_o10_o16_pcu_s_ID_127   0.6156         
str_m1_o10_o16_pcu_s_ID_128   0.7787         
str_m1_o10_o16_pcu_s_ID_129   2.0831         
str_m1_o10_o16_pcu_s_ID_13    0.6558         
str_m1_o10_o16_pcu_s_ID_130   0.6450         
str_m1_o10_o16_pcu_s_ID_131   0.2541         
str_m1_o10_o16_pcu_s_ID_132   0.5578         
str_m1_o10_o16_pcu_s_ID_133   0.3203         
str_m1_o10_o16_pcu_s_ID_134   0.4560         
str_m1_o10_o16_pcu_s_ID_135   1.5752         
str_m1_o10_o16_pcu_s_ID_136   0.7655         
str_m1_o10_o16_pcu_s_ID_137   0.4302         
str_m1_o10_o16_pcu_s_ID_138   10.3448        
str_m1_o10_o16_pcu_s_ID_139   0.8645         
str_m1_o10_o16_pcu_s_ID_14    0.8331         
str_m1_o10_o16_pcu_s_ID_140   4.7769         
str_m1_o10_o16_pcu_s_ID_141   5.4057         
str_m1_o10_o16_pcu_s_ID_142   0.3606         
str_m1_o10_o16_pcu_s_ID_143   0.6190         
str_m1_o10_o16_pcu_s_ID_144   1.2071         
str_m1_o10_o16_pcu_s_ID_145   3.8477         
str_m1_o10_o16_pcu_s_ID_146   0.6417         
str_m1_o10_o16_pcu_s_ID_147   0.4021         
str_m1_o10_o16_pcu_s_ID_148   0.5191         
str_m1_o10_o16_pcu_s_ID_149   1.0332         
str_m1_o10_o16_pcu_s_ID_15    0.4972         
str_m1_o10_o16_pcu_s_ID_150   29.5368        
str_m1_o10_o16_pcu_s_ID_151   1.3133         
str_m1_o10_o16_pcu_s_ID_152   0.5396         
str_m1_o10_o16_pcu_s_ID_153   14.9212        
str_m1_o10_o16_pcu_s_ID_154   4.7627         
str_m1_o10_o16_pcu_s_ID_155   2.2934         
str_m1_o10_o16_pcu_s_ID_156   0.3344         
str_m1_o10_o16_pcu_s_ID_157   13.1083        
str_m1_o10_o16_pcu_s_ID_158   2.0755         
str_m1_o10_o16_pcu_s_ID_159   2.1008         
str_m1_o10_o16_pcu_s_ID_16    3.5939         
str_m1_o10_o16_pcu_s_ID_160   0.4531         
str_m1_o10_o16_pcu_s_ID_161   1.9696         
str_m1_o10_o16_pcu_s_ID_162   2.7572         
str_m1_o10_o16_pcu_s_ID_163   1.2864         
str_m1_o10_o16_pcu_s_ID_164   6.2226         
str_m1_o10_o16_pcu_s_ID_165   1.6247         
str_m1_o10_o16_pcu_s_ID_166   12.5662        
str_m1_o10_o16_pcu_s_ID_167   2.4881         
str_m1_o10_o16_pcu_s_ID_168   0.6098         
str_m1_o10_o16_pcu_s_ID_169   0.2847         
str_m1_o10_o16_pcu_s_ID_17    5.3618         
str_m1_o10_o16_pcu_s_ID_170   1.2456         
str_m1_o10_o16_pcu_s_ID_171   3.7556         
str_m1_o10_o16_pcu_s_ID_172   0.2775         
str_m1_o10_o16_pcu_s_ID_173   0.2543         
str_m1_o10_o16_pcu_s_ID_174   3.0007         
str_m1_o10_o16_pcu_s_ID_175   0.4033         
str_m1_o10_o16_pcu_s_ID_176   0.2846         
str_m1_o10_o16_pcu_s_ID_177   12.8308        
str_m1_o10_o16_pcu_s_ID_178   1.5188         
str_m1_o10_o16_pcu_s_ID_179   11.5827        
str_m1_o10_o16_pcu_s_ID_18    1.9845         
str_m1_o10_o16_pcu_s_ID_180   0.5209         
str_m1_o10_o16_pcu_s_ID_181   1.2007         
str_m1_o10_o16_pcu_s_ID_182   11.3100        
str_m1_o10_o16_pcu_s_ID_183   25.2284        
str_m1_o10_o16_pcu_s_ID_184   7.2069         
str_m1_o10_o16_pcu_s_ID_185   4.9570         
str_m1_o10_o16_pcu_s_ID_186   0.4954         
str_m1_o10_o16_pcu_s_ID_187   0.3380         
str_m1_o10_o16_pcu_s_ID_188   1.2295         
str_m1_o10_o16_pcu_s_ID_189   1.8799         
str_m1_o10_o16_pcu_s_ID_19    0.7875         
str_m1_o10_o16_pcu_s_ID_190   0.4226         
str_m1_o10_o16_pcu_s_ID_191   0.3372         
str_m1_o10_o16_pcu_s_ID_192   8.0729         
str_m1_o10_o16_pcu_s_ID_193   3.3290         
str_m1_o10_o16_pcu_s_ID_194   12.1543        
str_m1_o10_o16_pcu_s_ID_195   2.1714         
str_m1_o10_o16_pcu_s_ID_196   8.3666         
str_m1_o10_o16_pcu_s_ID_197   0.3487         
str_m1_o10_o16_pcu_s_ID_198   8.4587         
str_m1_o10_o16_pcu_s_ID_199   12.0849        
str_m1_o10_o16_pcu_s_ID_2     13.3019        
str_m1_o10_o16_pcu_s_ID_20    0.8595         
str_m1_o10_o16_pcu_s_ID_200   0.4684         
str_m1_o10_o16_pcu_s_ID_201   0.3865         
str_m1_o10_o16_pcu_s_ID_202   7.2557         
str_m1_o10_o16_pcu_s_ID_203   18.3967        
str_m1_o10_o16_pcu_s_ID_204   19.8704        
str_m1_o10_o16_pcu_s_ID_205   2.5856         
str_m1_o10_o16_pcu_s_ID_206   1.9953         
str_m1_o10_o16_pcu_s_ID_207   5.8101         
str_m1_o10_o16_pcu_s_ID_208   5.7211         
str_m1_o10_o16_pcu_s_ID_209   1.5010         
str_m1_o10_o16_pcu_s_ID_21    0.2492         
str_m1_o10_o16_pcu_s_ID_210   0.2561         
str_m1_o10_o16_pcu_s_ID_211   47.0488        
str_m1_o10_o16_pcu_s_ID_212   20.9888        
str_m1_o10_o16_pcu_s_ID_213   2.4788         
str_m1_o10_o16_pcu_s_ID_214   0.9461         
str_m1_o10_o16_pcu_s_ID_215   6.4217         
str_m1_o10_o16_pcu_s_ID_216   1.5672         
str_m1_o10_o16_pcu_s_ID_217   5.8331         
str_m1_o10_o16_pcu_s_ID_218   10.1714        
str_m1_o10_o16_pcu_s_ID_219   0.6473         
str_m1_o10_o16_pcu_s_ID_22    14.2633        
str_m1_o10_o16_pcu_s_ID_220   12.0600        
str_m1_o10_o16_pcu_s_ID_221   2.5854         
str_m1_o10_o16_pcu_s_ID_222   2.9705         
str_m1_o10_o16_pcu_s_ID_223   2.2785         
str_m1_o10_o16_pcu_s_ID_224   1.1607         
str_m1_o10_o16_pcu_s_ID_225   0.4250         
str_m1_o10_o16_pcu_s_ID_226   5.5486         
str_m1_o10_o16_pcu_s_ID_227   1.5774         
