MaterialsName                0.01kPa        0.1kPa         

str_m3_o10_o16_pcu_s_ID_1     0.4794         4.6296         
str_m3_o10_o16_pcu_s_ID_10    5.5150         11.6360        
str_m3_o10_o16_pcu_s_ID_100   10.1890        17.1563        
str_m3_o10_o16_pcu_s_ID_101   9.0879         16.8203        
str_m3_o10_o16_pcu_s_ID_102   0.4456         4.9478         
str_m3_o10_o16_pcu_s_ID_103   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_104   0.0000         0.0007         
str_m3_o10_o16_pcu_s_ID_105   0.2140         1.2520         
str_m3_o10_o16_pcu_s_ID_106   5.8593         20.4758        
str_m3_o10_o16_pcu_s_ID_107   0.5902         5.3964         
str_m3_o10_o16_pcu_s_ID_108   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_109   4.8405         15.1979        
str_m3_o10_o16_pcu_s_ID_11    0.1120         1.0697         
str_m3_o10_o16_pcu_s_ID_110   7.8030         17.2530        
str_m3_o10_o16_pcu_s_ID_111   10.6979        17.2211        
str_m3_o10_o16_pcu_s_ID_112   3.4316         3.6719         
str_m3_o10_o16_pcu_s_ID_113   0.0100         0.0960         
str_m3_o10_o16_pcu_s_ID_114   0.0051         0.0511         
str_m3_o10_o16_pcu_s_ID_115   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_116   0.7320         6.7204         
str_m3_o10_o16_pcu_s_ID_117   0.4719         4.7543         
str_m3_o10_o16_pcu_s_ID_118   0.7963         6.0729         
str_m3_o10_o16_pcu_s_ID_119   0.0000         0.0001         
str_m3_o10_o16_pcu_s_ID_12    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_120   8.3999         11.0615        
str_m3_o10_o16_pcu_s_ID_121   4.8935         15.4266        
str_m3_o10_o16_pcu_s_ID_122   0.0115         0.0755         
str_m3_o10_o16_pcu_s_ID_123   0.0016         0.0124         
str_m3_o10_o16_pcu_s_ID_124   10.6210        17.0655        
str_m3_o10_o16_pcu_s_ID_125   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_126   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_127   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_128   11.6833        17.1576        
str_m3_o10_o16_pcu_s_ID_129   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_13    6.6702         16.4836        
str_m3_o10_o16_pcu_s_ID_130   0.4515         4.2847         
str_m3_o10_o16_pcu_s_ID_131   0.0054         0.0459         
str_m3_o10_o16_pcu_s_ID_132   0.9792         7.4912         
str_m3_o10_o16_pcu_s_ID_133   0.0075         0.0744         
str_m3_o10_o16_pcu_s_ID_134   0.0000         0.0016         
str_m3_o10_o16_pcu_s_ID_135   1.2126         9.0678         
str_m3_o10_o16_pcu_s_ID_136   0.0098         0.0751         
str_m3_o10_o16_pcu_s_ID_137   0.0003         0.0020         
str_m3_o10_o16_pcu_s_ID_138   14.7915        17.6928        
str_m3_o10_o16_pcu_s_ID_139   0.3810         4.1886         
str_m3_o10_o16_pcu_s_ID_14    11.9873        16.9514        
str_m3_o10_o16_pcu_s_ID_140   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_141   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_142   0.0009         0.0120         
str_m3_o10_o16_pcu_s_ID_143   7.6229         16.8143        
str_m3_o10_o16_pcu_s_ID_144   5.0181         16.6158        
str_m3_o10_o16_pcu_s_ID_145   3.2551         14.0770        
str_m3_o10_o16_pcu_s_ID_146   2.7016         7.5287         
str_m3_o10_o16_pcu_s_ID_147   4.8446         16.6726        
str_m3_o10_o16_pcu_s_ID_148   0.0195         0.1767         
str_m3_o10_o16_pcu_s_ID_149   1.0409         8.0718         
str_m3_o10_o16_pcu_s_ID_15    4.8749         16.8082        
str_m3_o10_o16_pcu_s_ID_150   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_151   0.3177         2.7009         
str_m3_o10_o16_pcu_s_ID_152   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_153   0.1437         2.0471         
str_m3_o10_o16_pcu_s_ID_154   0.4139         4.8545         
str_m3_o10_o16_pcu_s_ID_155   0.9552         8.8322         
str_m3_o10_o16_pcu_s_ID_156   0.0202         0.2677         
str_m3_o10_o16_pcu_s_ID_157   16.1013        17.7724        
str_m3_o10_o16_pcu_s_ID_158   0.0357         0.3495         
str_m3_o10_o16_pcu_s_ID_159   0.0537         0.6469         
str_m3_o10_o16_pcu_s_ID_16    3.0006         13.6323        
str_m3_o10_o16_pcu_s_ID_160   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_161   4.9317         17.1168        
str_m3_o10_o16_pcu_s_ID_162   11.7888        17.4076        
str_m3_o10_o16_pcu_s_ID_163   0.0283         0.3961         
str_m3_o10_o16_pcu_s_ID_17    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_18    4.7343         16.6808        
str_m3_o10_o16_pcu_s_ID_19    4.3718         15.1671        
str_m3_o10_o16_pcu_s_ID_2     0.9219         7.3711         
str_m3_o10_o16_pcu_s_ID_20    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_21    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_22    7.1322         16.3240        
str_m3_o10_o16_pcu_s_ID_23    0.9350         7.7591         
str_m3_o10_o16_pcu_s_ID_24    0.7802         7.2699         
str_m3_o10_o16_pcu_s_ID_25    0.0076         0.0648         
str_m3_o10_o16_pcu_s_ID_26    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_27    0.0011         0.0126         
